Date;Dst;
1.1.-9.1.2011;-6.379630;
10.1.-16.1.2011;-8.952381;
17.1.-23.1.2011;-2.511905;
24.1.-30.1.2011;-0.976191;
31.1.-6.2.2011;-13.488095;
7.2.-13.2.2011;-10.750000;
14.2.-20.2.2011;-12.773810;
21.2.-27.2.2011;-4.565476;
28.2.-6.3.2011;-15.500000;
7.3.-13.3.2011;-26.488095;
14.3.-20.3.2011;-3.648810;
21.3.-27.3.2011;-1.273809;
28.3.-3.4.2011;-5.267857;
4.4.-10.4.2011;-18.845238;
11.4.-17.4.2011;-7.916667;
18.4.-24.4.2011;-3.327381;
25.4.-1.5.2011;-11.523809;
2.5.-8.5.2011;-17.613095;
9.5.-15.5.2011;-0.845238;
16.5.-22.5.2011;-3.672619;
23.5.-29.5.2011;-16.422619;
30.5.-5.6.2011;-20.601190;
6.6.-12.6.2011;-20.154762;
13.6.-19.6.2011;-3.351190;
20.6.-26.6.2011;-8.172619;
27.6.-3.7.2011;-7.577381;
4.7.-10.7.2011;-16.083333;
11.7.-17.7.2011;-4.369048;
18.7.-24.7.2011;-8.446428;
25.7.-31.7.2011;-7.690476;
1.8.-7.8.2011;-22.583333;
8.8.-14.8.2011;-17.482143;
15.8.-21.8.2011;-8.154762;
22.8.-28.8.2011;-7.982143;
29.8.-4.9.2011;-9.089286;
5.9.-11.9.2011;-21.303571;
12.9.-18.9.2011;-27.119048;
19.9.-25.9.2011;-10.577381;
26.9.-2.10.2011;-33.857143;
3.10.-9.10.2011;-17.065476;
10.10.-16.10.2011;-6.684524;
17.10.-23.10.2011;-8.428572;
24.10.-30.10.2011;-32.833333;
31.10.-6.11.2011;-28.202381;
7.11.-13.11.2011;-7.047619;
14.11.-20.11.2011;-4.089286;
21.11.-27.11.2011;-9.827381;
28.11.-4.12.2011;-15.154762;
5.12.-11.12.2011;-2.464286;
12.12.-18.12.2011;-0.809524;
19.12.-25.12.2011;-1.434524;
26.12.-31.12.2011;2.395833;
