Date;Dst;
1.1.-9.1.2010;2.236111;
10.1.-16.1.2010;-0.630952;
17.1.-23.1.2010;-6.208333;
24.1.-30.1.2010;-5.672619;
31.1.-6.2.2010;-7.946429;
7.2.-13.2.2010;-8.077381;
14.2.-20.2.2010;-16.059524;
21.2.-27.2.2010;-5.309524;
28.2.-6.3.2010;-4.190476;
7.3.-13.3.2010;-8.684524;
14.3.-20.3.2010;-5.428571;
21.3.-27.3.2010;0.101190;
28.3.-3.4.2010;-11.000000;
4.4.-10.4.2010;-36.190476;
11.4.-17.4.2010;-21.000000;
18.4.-24.4.2010;-11.369048;
25.4.-1.5.2010;-5.422619;
2.5.-8.5.2010;-26.726190;
9.5.-15.5.2010;-7.154762;
16.5.-22.5.2010;-6.529762;
23.5.-29.5.2010;-7.571429;
30.5.-5.6.2010;-27.345238;
6.6.-12.6.2010;-8.303572;
13.6.-19.6.2010;-7.178572;
20.6.-26.6.2010;-2.226191;
27.6.-3.7.2010;-14.005952;
4.7.-10.7.2010;-7.672619;
11.7.-17.7.2010;-3.672619;
18.7.-24.7.2010;-0.154762;
25.7.-31.7.2010;-8.547619;
1.8.-7.8.2010;-25.755952;
8.8.-14.8.2010;-14.113095;
15.8.-21.8.2010;-7.755952;
22.8.-28.8.2010;-9.910714;
29.8.-4.9.2010;-6.851191;
5.9.-11.9.2010;-9.815476;
12.9.-18.9.2010;-7.767857;
19.9.-25.9.2010;-4.458333;
26.9.-2.10.2010;-9.416667;
3.10.-9.10.2010;-7.505952;
10.10.-16.10.2010;-14.380952;
17.10.-23.10.2010;-12.553571;
24.10.-30.10.2010;-15.494048;
31.10.-6.11.2010;-3.797619;
7.11.-13.11.2010;-9.809524;
14.11.-20.11.2010;-10.726191;
21.11.-27.11.2010;-8.470238;
28.11.-4.12.2010;-5.095238;
5.12.-11.12.2010;-2.636905;
12.12.-18.12.2010;-9.505953;
19.12.-25.12.2010;-8.547619;
26.12.-31.12.2010;-13.173611;
