Date;Dst;
1.1.-8.1.2012;-4.078125;
9.1.-15.1.2012;3.452381;
16.1.-22.1.2012;-2.255952;
23.1.-29.1.2012;-28.315476;
30.1.-5.2.2012;-7.547619;
6.2.-12.2.2012;-9.101190;
13.2.-19.2.2012;-22.297619;
20.2.-26.2.2012;-11.607143;
27.2.-4.3.2012;-23.773809;
5.3.-11.3.2012;-50.000000;
12.3.-18.3.2012;-42.154762;
19.3.-25.3.2012;-17.583333;
26.3.-1.4.2012;-14.601190;
2.4.-8.4.2012;-20.464286;
9.4.-15.4.2012;-12.869048;
16.4.-22.4.2012;-13.404762;
23.4.-29.4.2012;-32.172619;
30.4.-6.5.2012;-6.494048;
7.5.-13.5.2012;-11.261905;
14.5.-20.5.2012;-7.440476;
21.5.-27.5.2012;-10.625000;
28.5.-3.6.2012;3.065476;
4.6.-10.6.2012;-11.136905;
11.6.-17.6.2012;-13.845238;
18.6.-24.6.2012;-20.220238;
25.6.-1.7.2012;-5.357143;
2.7.-8.7.2012;-7.708333;
9.7.-15.7.2012;-34.589286;
16.7.-22.7.2012;-33.005953;
23.7.-29.7.2012;-3.434524;
30.7.-5.8.2012;-9.130952;
6.8.-12.8.2012;-5.940476;
13.8.-19.8.2012;-4.476191;
20.8.-26.8.2012;-5.577381;
27.8.-2.9.2012;-3.119048;
3.9.-9.9.2012;-29.970238;
10.9.-16.9.2012;0.803571;
17.9.-23.9.2012;-3.511905;
24.9.-30.9.2012;4.767857;
1.10.-7.10.2012;-24.773809;
8.10.-14.10.2012;-46.005952;
15.10.-21.10.2012;-11.910714;
22.10.-28.10.2012;-4.089286;
29.10.-4.11.2012;-8.803571;
5.11.-11.11.2012;0.767857;
12.11.-18.11.2012;-19.660714;
19.11.-25.11.2012;-12.857143;
26.11.-2.12.2012;2.815476;
3.12.-9.12.2012;10.029762;
10.12.-16.12.2012;7.238095;
17.12.-23.12.2012;2.857143;
24.12.-31.12.2012;11.171875;
