Week;Zraneni;Proton30
1.tyzden.2018;12;0.149524
2.tyzden.2018;22;0.152797
3.tyzden.2018;18;0.161786
4.tyzden.2018;15;0.156607
5.tyzden.2018;10;0.152560
6.tyzden.2018;18;0.156607
7.tyzden.2018;15;0.164524
8.tyzden.2018;13;0.157500
9.tyzden.2018;10;0.155357
10.tyzden.2018;15;0.157500
11.tyzden.2018;16;0.162738
12.tyzden.2018;9;0.158810
13.tyzden.2018;16;0.155179
14.tyzden.2018;22;0.159464
15.tyzden.2018;14;0.162381
16.tyzden.2018;30;0.161309
17.tyzden.2018;12;0.155476
18.tyzden.2018;13;0.160536
19.tyzden.2018;9;0.155655
20.tyzden.2018;19;0.161548
21.tyzden.2018;18;0.155238
22.tyzden.2018;22;0.158988
23.tyzden.2018;27;0.167738
24.tyzden.2018;14;0.173690
25.tyzden.2018;18;0.165238
26.tyzden.2018;18;0.156607
27.tyzden.2018;19;0.168393
28.tyzden.2018;18;0.170298
29.tyzden.2018;26;0.166071
30.tyzden.2018;28;0.168155
31.tyzden.2018;31;0.171905
32.tyzden.2018;23;0.167976
33.tyzden.2018;17;0.167143
34.tyzden.2018;37;0.164226
35.tyzden.2018;15;0.170536
36.tyzden.2018;13;0.171131
37.tyzden.2018;14;0.167798
38.tyzden.2018;17;0.168393
39.tyzden.2018;14;0.169345
40.tyzden.2018;35;0.175893
41.tyzden.2018;19;0.168095
42.tyzden.2018;19;0.167381
43.tyzden.2018;13;0.173095
44.tyzden.2018;21;0.178929
45.tyzden.2018;23;0.165774
46.tyzden.2018;22;0.165833
47.tyzden.2018;23;0.174583
48.tyzden.2018;17;0.178809
49.tyzden.2018;23;0.169583
50.tyzden.2018;22;0.167917
51.tyzden.2018;20;0.175655
52.tyzden.2018;6;0.179524
