Week;Zraneni;Temperature
22.tyzden.2013;11;192562.886905
23.tyzden.2013;15;77088.892857
24.tyzden.2013;25;47926.255952
25.tyzden.2013;14;131932.553571
26.tyzden.2013;18;89253.422619
27.tyzden.2013;11;44099.029762
28.tyzden.2013;21;55405.755952
29.tyzden.2013;25;85794.005952
30.tyzden.2013;16;90333.755953
31.tyzden.2013;25;59572.166666
32.tyzden.2013;27;97341.916667
33.tyzden.2013;26;144892.190476
34.tyzden.2013;12;76607.160714
35.tyzden.2013;19;81609.303572
36.tyzden.2013;19;73921.398810
37.tyzden.2013;19;88334.517857
38.tyzden.2013;20;85524.321429
39.tyzden.2013;14;42650.041666
40.tyzden.2013;9;59773.047619
41.tyzden.2013;24;45512.797619
42.tyzden.2013;23;75322.000000
43.tyzden.2013;19;36664.976190
44.tyzden.2013;18;62668.279762
45.tyzden.2013;19;87518.994048
46.tyzden.2013;20;83860.244047
47.tyzden.2013;10;58308.994048
48.tyzden.2013;13;56808.357143
49.tyzden.2013;20;90249.851190
50.tyzden.2013;12;74590.928571
51.tyzden.2013;18;42248.196428
52.tyzden.2013;20;44976.250000
1.tyzden.2014;15;131149.733333
2.tyzden.2014;15;107612.934524
3.tyzden.2014;11;153513.446429
4.tyzden.2014;8;109857.815476
5.tyzden.2014;15;78026.005952
6.tyzden.2014;21;60248.857143
7.tyzden.2014;19;58703.458333
8.tyzden.2014;24;73785.166667
9.tyzden.2014;11;76437.369048
10.tyzden.2014;20;85790.976191
11.tyzden.2014;11;63756.309524
12.tyzden.2014;13;81477.113095
13.tyzden.2014;12;81135.839286
14.tyzden.2014;15;86424.809524
15.tyzden.2014;23;72069.255953
16.tyzden.2014;11;96211.904762
17.tyzden.2014;10;56734.559524
18.tyzden.2014;14;36847.785714
19.tyzden.2014;11;60570.148809
20.tyzden.2014;17;47097.744047
21.tyzden.2014;19;68234.083333
22.tyzden.2014;13;38545.601190
23.tyzden.2014;20;63534.261905
24.tyzden.2014;16;71298.345238
25.tyzden.2014;13;89638.845238
26.tyzden.2014;11;39952.107143
27.tyzden.2014;16;31940.619048
28.tyzden.2014;25;48241.827381
29.tyzden.2014;22;61869.386905
30.tyzden.2014;17;58400.029762
31.tyzden.2014;12;68489.541667
32.tyzden.2014;9;82558.226191
33.tyzden.2014;16;81182.130952
34.tyzden.2014;24;34515.517857
35.tyzden.2014;11;75952.154762
36.tyzden.2014;17;66096.059524
37.tyzden.2014;11;101072.928572
38.tyzden.2014;17;87946.017857
39.tyzden.2014;17;83696.892857
40.tyzden.2014;17;88153.690476
41.tyzden.2014;19;52892.440476
42.tyzden.2014;16;99299.148809
43.tyzden.2014;25;100419.583333
44.tyzden.2014;13;112800.892857
45.tyzden.2014;19;95954.255952
46.tyzden.2014;11;202245.297619
47.tyzden.2014;14;79858.988095
48.tyzden.2014;21;71820.934524
49.tyzden.2014;18;137335.797619
50.tyzden.2014;20;142472.994048
51.tyzden.2014;18;78092.982143
52.tyzden.2014;18;153419.587500
1.tyzden.2015;6;81047.708333
2.tyzden.2015;6;135556.154762
3.tyzden.2015;22;78579.839286
4.tyzden.2015;9;76305.482143
5.tyzden.2015;24;107609.982143
6.tyzden.2015;12;129660.511905
7.tyzden.2015;4;55100.684524
8.tyzden.2015;6;70161.517857
9.tyzden.2015;6;103865.482143
tyzden.2015;8;147592.136905
11.tyzden.2015;10;67049.029762
12.tyzden.2015;14;163377.958333
13.tyzden.2015;12;83506.297619
tyzden.2015;14;89410.553571
15.tyzden.2015;15;52662.315476
16.tyzden.2015;9;121408.839286
tyzden.2015;11;77962.750000
18.tyzden.2015;15;58073.535714
19.tyzden.2015;17;49289.184524
20.tyzden.2015;21;102604.577381
21.tyzden.2015;19;78105.821429
22.tyzden.2015;18;63356.053571
23.tyzden.2015;33;42164.607143
24.tyzden.2015;22;157877.928571
25.tyzden.2015;11;69695.714286
26.tyzden.2015;9;272599.523809
27.tyzden.2015;18;80653.833333
28.tyzden.2015;23;121112.547619
29.tyzden.2015;15;96568.940476
30.tyzden.2015;20;92040.071429
31.tyzden.2015;21;127886.636905
32.tyzden.2015;22;110340.821429
33.tyzden.2015;14;91692.202381
34.tyzden.2015;20;113279.750000
35.tyzden.2015;16;68011.613095
36.tyzden.2015;22;91024.750000
37.tyzden.2015;21;103202.357143
38.tyzden.2015;24;123812.041666
39.tyzden.2015;18;106426.404762
40.tyzden.2015;14;75146.089286
41.tyzden.2015;14;152755.994048
42.tyzden.2015;19;97817.327381
43.tyzden.2015;14;90790.238095
44.tyzden.2015;18;41751.517857
45.tyzden.2015;18;138133.446429
46.tyzden.2015;16;142029.690476
47.tyzden.2015;19;54723.934524
48.tyzden.2015;19;44590.172619
49.tyzden.2015;15;111239.309524
50.tyzden.2015;17;149911.023809
51.tyzden.2015;21;107045.035714
52.tyzden.2015;22;111729.662879
1.tyzden.2016;9;99209.875000
2.tyzden.2016;18;151823.095238
3.tyzden.2016;8;104949.363095
4.tyzden.2016;16;31307.708333
5.tyzden.2016;8;68409.732143
6.tyzden.2016;11;78459.500000
7.tyzden.2016;13;135025.172619
8.tyzden.2016;16;65356.952381
9.tyzden.2016;8;71943.559524
10.tyzden.2016;7;101375.505952
11.tyzden.2016;18;131721.125000
12.tyzden.2016;6;90778.071429
13.tyzden.2016;12;105175.577381
14.tyzden.2016;12;55233.648809
15.tyzden.2016;11;96754.250000
16.tyzden.2016;14;91642.315476
17.tyzden.2016;20;89128.178571
18.tyzden.2016;11;153631.023810
19.tyzden.2016;10;119477.886905
20.tyzden.2016;12;146862.017857
21.tyzden.2016;15;102625.244048
22.tyzden.2016;20;88101.851191
23.tyzden.2016;24;137375.619048
24.tyzden.2016;14;160990.791667
25.tyzden.2016;16;92079.589286
26.tyzden.2016;15;81005.541667
27.tyzden.2016;16;125251.523810
28.tyzden.2016;27;133305.208333
29.tyzden.2016;9;65560.178571
30.tyzden.2016;12;77001.839286
31.tyzden.2016;25;134716.047619
32.tyzden.2016;27;125006.696429
33.tyzden.2016;30;45638.642857
34.tyzden.2016;15;94191.184524
35.tyzden.2016;23;160483.083333
36.tyzden.2016;24;80191.577381
37.tyzden.2016;30;32396.821429
38.tyzden.2016;18;92412.148810
39.tyzden.2016;13;169087.255953
40.tyzden.2016;19;88182.922619
41.tyzden.2016;11;104187.988095
42.tyzden.2016;16;98963.398810
43.tyzden.2016;16;178285.625000
44.tyzden.2016;17;60735.345238
45.tyzden.2016;16;116516.154762
46.tyzden.2016;17;65465.250000
47.tyzden.2016;23;145289.297619
48.tyzden.2016;13;38383.898809
49.tyzden.2016;12;156184.011905
50.tyzden.2016;21;74667.744048
51.tyzden.2016;12;174614.541667
52.tyzden.2016;9;108108.250000
1.tyzden.2017;16;162362.744792
2.tyzden.2017;7;69583.946429
3.tyzden.2017;10;111705.797619
4.tyzden.2017;6;119526.589286
5.tyzden.2017;20;171783.339286
6.tyzden.2017;6;73629.041666
7.tyzden.2017;12;79360.000000
8.tyzden.2017;10;113545.535714
9.tyzden.2017;12;156607.482143
10.tyzden.2017;11;99375.119048
11.tyzden.2017;9;40834.071428
12.tyzden.2017;16;142571.857143
13.tyzden.2017;22;168602.369048
14.tyzden.2017;10;78738.964286
15.tyzden.2017;16;42603.517857
16.tyzden.2017;15;157473.910714
17.tyzden.2017;13;103304.238095
18.tyzden.2017;27;46489.166667
19.tyzden.2017;20;36101.845238
20.tyzden.2017;21;150935.803571
21.tyzden.2017;16;66854.327381
22.tyzden.2017;21;90956.422619
23.tyzden.2017;16;31789.625000
24.tyzden.2017;13;138733.178571
25.tyzden.2017;13;55446.369048
26.tyzden.2017;33;74779.053571
27.tyzden.2017;18;62985.702381
28.tyzden.2017;14;91217.017857
29.tyzden.2017;25;193334.851190
30.tyzden.2017;20;118145.363095
31.tyzden.2017;35;126541.279762
32.tyzden.2017;17;113407.488095
33.tyzden.2017;24;142915.720238
34.tyzden.2017;15;57463.517857
35.tyzden.2017;17;129341.821428
36.tyzden.2017;14;235075.077381
37.tyzden.2017;24;167857.607143
38.tyzden.2017;15;80304.095238
39.tyzden.2017;17;121753.714286
40.tyzden.2017;13;74287.708333
41.tyzden.2017;22;129237.940476
42.tyzden.2017;22;76114.250000
43.tyzden.2017;8;95338.791667
44.tyzden.2017;14;56147.946429
45.tyzden.2017;21;127500.595238
46.tyzden.2017;20;62782.107143
47.tyzden.2017;14;71720.779762
48.tyzden.2017;13;100997.220238
49.tyzden.2017;26;90163.440476
50.tyzden.2017;16;97373.958333
51.tyzden.2017;15;104102.321428
52.tyzden.2017;10;64157.726190
1.tyzden.2018;12;48336.291667
2.tyzden.2018;22;93847.607143
3.tyzden.2018;18;67878.255953
4.tyzden.2018;15;79196.208333
5.tyzden.2018;10;41854.571429
6.tyzden.2018;18;49660.738095
7.tyzden.2018;15;62186.815476
8.tyzden.2018;13;96124.886905
9.tyzden.2018;10;73606.785714
10.tyzden.2018;15;44624.660714
11.tyzden.2018;16;90847.101191
12.tyzden.2018;9;86919.958333
13.tyzden.2018;16;79306.333333
14.tyzden.2018;22;44200.452381
15.tyzden.2018;14;102701.541667
16.tyzden.2018;30;84110.297619
17.tyzden.2018;12;43553.196429
18.tyzden.2018;13;95648.357143
19.tyzden.2018;9;127008.505952
20.tyzden.2018;19;46707.976190
21.tyzden.2018;18;53910.809524
22.tyzden.2018;22;121944.660714
23.tyzden.2018;27;43048.833333
24.tyzden.2018;14;23953.315476
25.tyzden.2018;18;99399.416667
26.tyzden.2018;18;75931.107143
27.tyzden.2018;19;61345.708333
28.tyzden.2018;18;57501.654762
29.tyzden.2018;26;80930.803572
30.tyzden.2018;28;81890.708333
31.tyzden.2018;31;39895.672619
32.tyzden.2018;23;48072.958333
33.tyzden.2018;17;83848.738095
34.tyzden.2018;37;98119.744048
