Week;Nehodovost;Density
1.tyzden.2010;438;6.666667
2.tyzden.2010;367;6.101786
3.tyzden.2010;499;6.102976
4.tyzden.2010;470;4.847024
5.tyzden.2010;404;3.832143
6.tyzden.2010;406;5.013690
7.tyzden.2010;369;5.117262
8.tyzden.2010;412;4.380953
9.tyzden.2010;351;6.841071
10.tyzden.2010;434;3.827976
11.tyzden.2010;402;4.497619
12.tyzden.2010;399;6.547619
13.tyzden.2010;331;4.943452
14.tyzden.2010;354;3.053571
15.tyzden.2010;407;5.430952
16.tyzden.2010;401;5.942857
17.tyzden.2010;398;5.407143
18.tyzden.2010;416;4.159524
19.tyzden.2010;386;4.538691
20.tyzden.2010;436;6.526786
21.tyzden.2010;419;8.092857
22.tyzden.2010;433;3.376786
23.tyzden.2010;444;5.238690
24.tyzden.2010;390;5.245238
25.tyzden.2010;360;7.315476
26.tyzden.2010;443;2.794048
27.tyzden.2010;429;3.256548
28.tyzden.2010;408;7.272619
29.tyzden.2010;411;7.237500
30.tyzden.2010;404;3.523810
31.tyzden.2010;391;3.712500
32.tyzden.2010;408;3.744048
33.tyzden.2010;427;5.847024
34.tyzden.2010;414;6.135714
35.tyzden.2010;378;2.753571
36.tyzden.2010;403;3.565476
37.tyzden.2010;417;4.890476
38.tyzden.2010;434;5.339286
39.tyzden.2010;451;2.602976
40.tyzden.2010;428;7.113095
41.tyzden.2010;464;10.797619
42.tyzden.2010;461;5.262500
43.tyzden.2010;477;2.801786
44.tyzden.2010;363;9.255357
45.tyzden.2010;451;7.557738
46.tyzden.2010;461;3.254762
47.tyzden.2010;490;5.114881
48.tyzden.2010;494;7.850595
49.tyzden.2010;437;7.890476
50.tyzden.2010;474;4.823810
51.tyzden.2010;408;6.253571
52.tyzden.2010;314;6.211805
1.tyzden.2011;352;6.338426
2.tyzden.2011;343;3.676191
3.tyzden.2011;369;3.900000
4.tyzden.2011;367;8.533928
5.tyzden.2011;241;8.180952
6.tyzden.2011;291;4.342857
7.tyzden.2011;200;5.511309
8.tyzden.2011;189;4.003571
9.tyzden.2011;253;6.694048
10.tyzden.2011;219;6.095833
11.tyzden.2011;272;3.757738
12.tyzden.2011;249;5.136905
13.tyzden.2011;274;4.545833
14.tyzden.2011;232;3.455952
15.tyzden.2011;249;7.558928
16.tyzden.2011;298;5.386905
17.tyzden.2011;238;3.279167
18.tyzden.2011;267;2.919047
19.tyzden.2011;317;8.973214
20.tyzden.2011;300;4.528572
21.tyzden.2011;307;4.629167
22.tyzden.2011;291;5.280357
23.tyzden.2011;311;4.490476
24.tyzden.2011;289;4.043453
25.tyzden.2011;316;4.138691
26.tyzden.2011;311;5.101190
27.tyzden.2011;260;5.954762
28.tyzden.2011;292;4.330357
29.tyzden.2011;300;3.098809
30.tyzden.2011;262;4.383929
31.tyzden.2011;237;2.777976
32.tyzden.2011;283;4.366071
33.tyzden.2011;322;4.652976
34.tyzden.2011;305;4.335119
35.tyzden.2011;243;5.481548
36.tyzden.2011;289;5.583333
37.tyzden.2011;322;3.750000
38.tyzden.2011;255;4.089286
39.tyzden.2011;333;5.872619
40.tyzden.2011;333;8.753571
41.tyzden.2011;303;5.441071
42.tyzden.2011;330;4.194643
43.tyzden.2011;299;6.297619
44.tyzden.2011;251;6.232738
45.tyzden.2011;239;4.479167
46.tyzden.2011;276;3.588691
47.tyzden.2011;225;6.652976
48.tyzden.2011;296;4.768452
49.tyzden.2011;307;6.450595
50.tyzden.2011;340;5.009524
51.tyzden.2011;347;6.136310
52.tyzden.2011;194;11.629861
1.tyzden.2012;233;5.939583
2.tyzden.2012;256;5.175595
3.tyzden.2012;292;8.545833
4.tyzden.2012;250;3.632143
5.tyzden.2012;199;6.776786
6.tyzden.2012;208;5.746428
7.tyzden.2012;309;8.641667
8.tyzden.2012;225;4.889881
9.tyzden.2012;207;6.244643
10.tyzden.2012;201;5.863095
11.tyzden.2012;209;3.200595
12.tyzden.2012;235;5.346428
13.tyzden.2012;198;7.744048
14.tyzden.2012;215;7.289286
15.tyzden.2012;201;6.143452
16.tyzden.2012;225;6.574405
17.tyzden.2012;294;4.920238
18.tyzden.2012;269;6.196429
19.tyzden.2012;257;5.628571
20.tyzden.2012;248;4.641071
21.tyzden.2012;258;4.498214
22.tyzden.2012;250;7.688095
23.tyzden.2012;292;2.700595
24.tyzden.2012;280;6.457143
25.tyzden.2012;301;2.021429
26.tyzden.2012;279;5.882738
27.tyzden.2012;275;4.490476
28.tyzden.2012;303;5.053571
29.tyzden.2012;249;2.991667
30.tyzden.2012;253;5.825000
31.tyzden.2012;258;4.498214
32.tyzden.2012;258;6.308929
33.tyzden.2012;274;5.278571
34.tyzden.2012;277;4.427976
35.tyzden.2012;265;3.340476
36.tyzden.2012;294;6.158333
37.tyzden.2012;297;6.189286
38.tyzden.2012;270;4.401190
39.tyzden.2012;270;6.246428
40.tyzden.2012;287;6.554167
41.tyzden.2012;273;4.902381
42.tyzden.2012;337;3.054762
43.tyzden.2012;289;4.100595
44.tyzden.2012;268;8.057143
45.tyzden.2012;290;7.191071
46.tyzden.2012;263;5.718452
47.tyzden.2012;299;5.130953
48.tyzden.2012;251;5.548214
49.tyzden.2012;344;7.295833
50.tyzden.2012;344;8.960119
51.tyzden.2012;342;3.887500
52.tyzden.2012;208;7.229688
1.tyzden.2013;185;7.109028
2.tyzden.2013;254;6.869643
3.tyzden.2013;259;6.948809
4.tyzden.2013;231;6.513095
5.tyzden.2013;271;5.822024
6.tyzden.2013;276;7.429167
7.tyzden.2013;242;7.810119
8.tyzden.2013;226;6.448810
9.tyzden.2013;210;9.244643
10.tyzden.2013;202;8.269643
11.tyzden.2013;263;9.155357
12.tyzden.2013;230;4.242262
13.tyzden.2013;272;5.570833
14.tyzden.2013;160;4.789286
15.tyzden.2013;232;5.352976
16.tyzden.2013;252;5.490476
17.tyzden.2013;253;10.347619
18.tyzden.2013;230;3.970833
19.tyzden.2013;249;3.552976
20.tyzden.2013;243;7.463095
21.tyzden.2013;240;5.311905
22.tyzden.2013;238;3.777381
23.tyzden.2013;241;4.992262
24.tyzden.2013;298;5.324405
25.tyzden.2013;325;7.247024
26.tyzden.2013;242;4.552381
27.tyzden.2013;275;5.283334
28.tyzden.2013;252;5.327976
29.tyzden.2013;274;5.442857
30.tyzden.2013;270;5.087500
31.tyzden.2013;249;5.919048
32.tyzden.2013;296;3.319048
33.tyzden.2013;261;5.179762
34.tyzden.2013;256;4.135714
35.tyzden.2013;249;5.244643
36.tyzden.2013;278;3.594048
37.tyzden.2013;262;4.798214
38.tyzden.2013;281;4.045238
39.tyzden.2013;264;5.594048
40.tyzden.2013;242;5.595833
41.tyzden.2013;269;5.295833
42.tyzden.2013;278;3.305952
43.tyzden.2013;277;6.054167
44.tyzden.2013;236;6.594643
45.tyzden.2013;276;4.791071
46.tyzden.2013;268;4.283333
47.tyzden.2013;308;3.238095
48.tyzden.2013;258;6.470833
49.tyzden.2013;311;4.783928
50.tyzden.2013;247;6.652381
51.tyzden.2013;303;3.139286
52.tyzden.2013;280;7.170370
1.tyzden.2014;148;4.125000
2.tyzden.2014;195;4.395238
3.tyzden.2014;216;3.235119
4.tyzden.2014;241;5.497619
5.tyzden.2014;249;4.263095
6.tyzden.2014;200;6.301190
7.tyzden.2014;228;6.947024
8.tyzden.2014;222;4.470238
9.tyzden.2014;196;5.548214
10.tyzden.2014;228;3.789881
11.tyzden.2014;234;5.654762
12.tyzden.2014;253;6.980357
13.tyzden.2014;211;4.038690
14.tyzden.2014;219;5.464286
15.tyzden.2014;250;4.851190
16.tyzden.2014;245;6.174405
17.tyzden.2014;224;3.258334
18.tyzden.2014;256;9.391072
19.tyzden.2014;256;6.314286
20.tyzden.2014;260;5.800000
21.tyzden.2014;310;5.258929
22.tyzden.2014;247;7.738691
23.tyzden.2014;276;9.915476
24.tyzden.2014;268;3.751191
25.tyzden.2014;245;4.895238
26.tyzden.2014;281;7.319643
27.tyzden.2014;248;8.440476
28.tyzden.2014;260;6.119643
29.tyzden.2014;281;5.569643
30.tyzden.2014;263;7.837500
31.tyzden.2014;238;6.808333
32.tyzden.2014;250;4.891071
33.tyzden.2014;246;6.900595
34.tyzden.2014;248;8.622024
35.tyzden.2014;255;10.090476
36.tyzden.2014;220;6.207738
37.tyzden.2014;250;5.825000
38.tyzden.2014;236;5.928571
39.tyzden.2014;247;5.729167
40.tyzden.2014;303;7.333333
41.tyzden.2014;279;9.777976
42.tyzden.2014;304;8.920833
43.tyzden.2014;298;4.734524
44.tyzden.2014;259;4.930357
45.tyzden.2014;253;7.026190
46.tyzden.2014;260;4.062500
47.tyzden.2014;253;4.761309
48.tyzden.2014;234;7.079167
49.tyzden.2014;276;7.622024
50.tyzden.2014;273;4.978571
51.tyzden.2014;323;5.442262
52.tyzden.2014;305;6.622917
1.tyzden.2015;103;7.843750
2.tyzden.2015;103;6.013690
3.tyzden.2015;259;5.140476
4.tyzden.2015;217;9.723214
5.tyzden.2015;240;10.106548
6.tyzden.2015;205;4.758929
7.tyzden.2015;239;5.957738
8.tyzden.2015;220;8.556548
9.tyzden.2015;181;10.035119
tyzden.2015;206;5.698214
11.tyzden.2015;225;8.860714
12.tyzden.2015;221;8.352381
13.tyzden.2015;236;6.630952
tyzden.2015;211;7.410119
15.tyzden.2015;213;8.554167
16.tyzden.2015;240;10.413095
tyzden.2015;257;6.744643
18.tyzden.2015;230;7.106548
19.tyzden.2015;220;8.360714
20.tyzden.2015;251;7.066071
21.tyzden.2015;256;4.635119
22.tyzden.2015;287;8.333333
23.tyzden.2015;310;9.735714
24.tyzden.2015;282;5.232738
25.tyzden.2015;258;4.937500
26.tyzden.2015;256;4.989881
27.tyzden.2015;273;7.612500
28.tyzden.2015;246;4.990476
29.tyzden.2015;275;3.566667
30.tyzden.2015;284;8.511905
31.tyzden.2015;235;5.947619
32.tyzden.2015;266;4.576786
33.tyzden.2015;269;6.685714
34.tyzden.2015;295;4.907143
35.tyzden.2015;272;8.028571
36.tyzden.2015;276;5.957143
37.tyzden.2015;269;9.337500
38.tyzden.2015;264;5.663690
39.tyzden.2015;285;4.270833
40.tyzden.2015;285;6.989286
41.tyzden.2015;261;5.054167
42.tyzden.2015;296;7.076190
43.tyzden.2015;274;7.889286
44.tyzden.2015;287;7.020238
45.tyzden.2015;279;8.753571
46.tyzden.2015;285;4.763691
47.tyzden.2015;260;8.089881
48.tyzden.2015;283;12.613095
49.tyzden.2015;284;5.552976
50.tyzden.2015;292;3.705357
51.tyzden.2015;302;9.941071
52.tyzden.2015;349;7.171970
1.tyzden.2016;241;5.146667
2.tyzden.2016;251;4.029762
3.tyzden.2016;235;9.631548
4.tyzden.2016;228;8.819048
5.tyzden.2016;219;10.776190
6.tyzden.2016;241;9.239881
7.tyzden.2016;239;6.504167
8.tyzden.2016;191;8.530357
9.tyzden.2016;208;8.948810
10.tyzden.2016;210;8.131548
11.tyzden.2016;235;5.407143
12.tyzden.2016;207;7.090476
13.tyzden.2016;175;5.301786
14.tyzden.2016;239;8.888095
15.tyzden.2016;257;8.705357
16.tyzden.2016;246;6.591071
17.tyzden.2016;236;6.008333
18.tyzden.2016;245;6.133333
19.tyzden.2016;269;5.350000
20.tyzden.2016;218;5.108333
21.tyzden.2016;277;5.054762
22.tyzden.2016;260;7.872619
23.tyzden.2016;289;5.992262
24.tyzden.2016;294;3.892262
25.tyzden.2016;302;5.559524
26.tyzden.2016;293;7.829762
27.tyzden.2016;256;7.376786
28.tyzden.2016;277;3.307143
29.tyzden.2016;236;5.298214
30.tyzden.2016;255;9.042857
31.tyzden.2016;251;6.586310
32.tyzden.2016;277;3.119048
33.tyzden.2016;274;8.163095
34.tyzden.2016;281;5.239881
35.tyzden.2016;231;6.623810
36.tyzden.2016;318;3.773810
37.tyzden.2016;299;11.416071
38.tyzden.2016;277;7.378571
39.tyzden.2016;246;4.313690
40.tyzden.2016;253;4.311905
41.tyzden.2016;252;6.969643
42.tyzden.2016;293;5.344048
43.tyzden.2016;260;5.167857
44.tyzden.2016;233;6.482738
45.tyzden.2016;275;10.313095
46.tyzden.2016;281;6.115476
47.tyzden.2016;280;6.165476
48.tyzden.2016;279;7.665476
49.tyzden.2016;300;9.345238
50.tyzden.2016;284;5.515476
51.tyzden.2016;275;5.207143
52.tyzden.2016;194;6.529167
1.tyzden.2017;216;5.597396
2.tyzden.2017;252;6.678571
3.tyzden.2017;210;8.254167
4.tyzden.2017;188;6.014881
5.tyzden.2017;242;4.385119
6.tyzden.2017;218;4.941667
7.tyzden.2017;240;9.926190
8.tyzden.2017;203;5.291071
9.tyzden.2017;228;5.713690
10.tyzden.2017;185;4.092262
11.tyzden.2017;217;8.226786
12.tyzden.2017;223;6.097024
13.tyzden.2017;279;4.092262
14.tyzden.2017;226;6.700000
15.tyzden.2017;257;6.030952
16.tyzden.2017;208;7.647619
17.tyzden.2017;244;3.032738
18.tyzden.2017;267;7.933929
19.tyzden.2017;258;11.845238
20.tyzden.2017;276;6.488691
21.tyzden.2017;305;5.985714
22.tyzden.2017;294;6.760119
23.tyzden.2017;266;10.350000
24.tyzden.2017;263;5.092857
25.tyzden.2017;274;5.783929
26.tyzden.2017;343;5.821429
27.tyzden.2017;272;8.004167
28.tyzden.2017;295;5.564881
29.tyzden.2017;287;3.633333
30.tyzden.2017;272;3.248810
31.tyzden.2017;307;6.827976
32.tyzden.2017;268;4.058928
33.tyzden.2017;270;4.808333
34.tyzden.2017;257;5.047024
35.tyzden.2017;261;6.244643
36.tyzden.2017;236;3.574405
37.tyzden.2017;316;5.890476
38.tyzden.2017;273;5.837500
39.tyzden.2017;270;6.286309
40.tyzden.2017;265;6.123214
41.tyzden.2017;261;6.674405
42.tyzden.2017;291;6.519048
43.tyzden.2017;311;6.583929
44.tyzden.2017;218;9.402381
45.tyzden.2017;279;6.591667
46.tyzden.2017;271;7.480357
47.tyzden.2017;322;7.477381
48.tyzden.2017;303;6.776190
49.tyzden.2017;339;7.425595
50.tyzden.2017;297;8.352976
51.tyzden.2017;311;6.913690
52.tyzden.2017;211;6.565476
1.tyzden.2018;178;8.998214
2.tyzden.2018;211;9.092857
3.tyzden.2018;312;7.952381
4.tyzden.2018;220;6.707738
5.tyzden.2018;229;10.483333
6.tyzden.2018;198;7.910714
7.tyzden.2018;234;9.560714
8.tyzden.2018;198;4.935119
9.tyzden.2018;228;7.407143
10.tyzden.2018;235;8.491071
11.tyzden.2018;229;6.579762
12.tyzden.2018;200;6.585714
13.tyzden.2018;228;5.236310
14.tyzden.2018;231;7.707143
15.tyzden.2018;267;4.918452
16.tyzden.2018;268;9.380357
17.tyzden.2018;273;6.689286
18.tyzden.2018;257;6.447619
19.tyzden.2018;248;3.887500
20.tyzden.2018;269;6.163690
21.tyzden.2018;263;7.322619
22.tyzden.2018;281;5.926190
23.tyzden.2018;276;5.843452
24.tyzden.2018;256;11.317857
25.tyzden.2018;287;5.330357
26.tyzden.2018;263;3.998214
27.tyzden.2018;306;7.199405
28.tyzden.2018;262;6.482143
29.tyzden.2018;283;7.051786
30.tyzden.2018;277;4.363691
31.tyzden.2018;289;9.431548
32.tyzden.2018;291;8.564286
33.tyzden.2018;261;6.307143
34.tyzden.2018;299;5.917262
35.tyzden.2018;253;5.033929
36.tyzden.2018;275;7.848214
37.tyzden.2018;301;4.707143
38.tyzden.2018;291;5.612500
39.tyzden.2018;271;7.874405
40.tyzden.2018;261;8.442857
41.tyzden.2018;298;4.605357
42.tyzden.2018;298;6.255357
43.tyzden.2018;288;7.860714
44.tyzden.2018;250;11.939286
45.tyzden.2018;254;4.851190
46.tyzden.2018;244;5.275595
47.tyzden.2018;286;9.010119
48.tyzden.2018;285;8.332738
49.tyzden.2018;282;5.415476
50.tyzden.2018;329;3.779167
51.tyzden.2018;344;4.447619
52.tyzden.2018;168;7.250595
