Week;Zraneni;Dst
1.tyzden.2018;12;-3.630952
2.tyzden.2018;22;-2.708333
3.tyzden.2018;18;-3.839285
4.tyzden.2018;15;-7.500000
5.tyzden.2018;10;-0.755952
6.tyzden.2018;18;-1.785714
7.tyzden.2018;15;-4.119048
8.tyzden.2018;13;-13.250000
9.tyzden.2018;10;-10.434524
10.tyzden.2018;15;0.023810
11.tyzden.2018;16;-12.154762
12.tyzden.2018;9;-14.994048
13.tyzden.2018;16;-4.059524
14.tyzden.2018;22;3.148810
15.tyzden.2018;14;-11.363095
16.tyzden.2018;30;-12.041667
17.tyzden.2018;12;-5.107143
18.tyzden.2018;13;-3.928571
19.tyzden.2018;9;-19.559524
20.tyzden.2018;19;-6.732143
21.tyzden.2018;18;2.363095
22.tyzden.2018;22;-4.511905
23.tyzden.2018;27;-7.148810
24.tyzden.2018;14;2.666667
25.tyzden.2018;18;-10.392857
26.tyzden.2018;18;-14.833333
27.tyzden.2018;19;2.708333
28.tyzden.2018;18;2.535714
29.tyzden.2018;26;-0.833333
30.tyzden.2018;28;-0.886905
31.tyzden.2018;31;4.660714
32.tyzden.2018;23;1.773809
33.tyzden.2018;17;-10.940476
34.tyzden.2018;37;-20.946428
35.tyzden.2018;15;-26.666667
36.tyzden.2018;13;-1.083333
37.tyzden.2018;14;-16.315476
38.tyzden.2018;17;-5.494047
39.tyzden.2018;14;1.273809
40.tyzden.2018;35;-4.875000
41.tyzden.2018;19;-22.666667
42.tyzden.2018;19;-4.136905
43.tyzden.2018;13;-1.880952
44.tyzden.2018;21;3.214286
45.tyzden.2018;23;-20.708333
46.tyzden.2018;22;-4.083333
47.tyzden.2018;23;2.577381
48.tyzden.2018;17;2.761905
49.tyzden.2018;23;-4.625000
50.tyzden.2018;22;-4.476191
51.tyzden.2018;20;-2.101191
52.tyzden.2018;6;-2.077381
