Date;Proton60;
1.1.-10.1.2016;0.061375;
11.1.-17.1.2016;0.058214;
18.1.-24.1.2016;0.060893;
25.1.-31.1.2016;0.062381;
1.2.-7.2.2016;0.059107;
8.2.-14.2.2016;0.061012;
15.2.-21.2.2016;0.061131;
22.2.-28.2.2016;0.061488;
29.2.-6.3.2016;0.063691;
7.3.-13.3.2016;0.064107;
14.3.-20.3.2016;0.061369;
21.3.-27.3.2016;0.059167;
28.3.-3.4.2016;0.061964;
4.4.-10.4.2016;0.062143;
11.4.-17.4.2016;0.060298;
18.4.-24.4.2016;0.060893;
25.4.-1.5.2016;0.063512;
2.5.-8.5.2016;0.060357;
9.5.-15.5.2016;0.064345;
16.5.-22.5.2016;0.060238;
23.5.-29.5.2016;0.062500;
30.5.-5.6.2016;0.065357;
6.6.-12.6.2016;0.064762;
13.6.-19.6.2016;0.059702;
20.6.-26.6.2016;0.062024;
27.6.-3.7.2016;0.063809;
4.7.-10.7.2016;0.064345;
11.7.-17.7.2016;0.059524;
18.7.-24.7.2016;0.062917;
25.7.-31.7.2016;0.065119;
1.8.-7.8.2016;0.063393;
8.8.-14.8.2016;0.062798;
15.8.-21.8.2016;0.062619;
22.8.-28.8.2016;0.065476;
29.8.-4.9.2016;0.063452;
5.9.-11.9.2016;0.063691;
12.9.-18.9.2016;0.065655;
19.9.-25.9.2016;0.066190;
26.9.-2.10.2016;0.063928;
3.10.-9.10.2016;0.066667;
10.10.-16.10.2016;0.066964;
17.10.-23.10.2016;0.068036;
24.10.-30.10.2016;0.064524;
31.10.-6.11.2016;0.068214;
7.11.-13.11.2016;0.068928;
14.11.-20.11.2016;0.070417;
21.11.-27.11.2016;0.064821;
28.11.-4.12.2016;0.068214;
5.12.-11.12.2016;0.068393;
12.12.-18.12.2016;0.071786;
19.12.-25.12.2016;0.066488;
26.12.-31.12.2016;0.068056;
