Date;Proton60;
1.1.-9.1.2010;0.095185;
10.1.-16.1.2010;0.090476;
17.1.-23.1.2010;0.088750;
24.1.-30.1.2010;0.088750;
31.1.-6.2.2010;0.088036;
7.2.-13.2.2010;0.083155;
14.2.-20.2.2010;0.084583;
21.2.-27.2.2010;0.088988;
28.2.-6.3.2010;0.088095;
7.3.-13.3.2010;0.077262;
14.3.-20.3.2010;0.083274;
21.3.-27.3.2010;0.084226;
28.3.-3.4.2010;0.082500;
4.4.-10.4.2010;0.072976;
11.4.-17.4.2010;0.083750;
18.4.-24.4.2010;0.086369;
25.4.-1.5.2010;0.083036;
2.5.-8.5.2010;0.078095;
9.5.-15.5.2010;0.082500;
16.5.-22.5.2010;0.086190;
23.5.-29.5.2010;0.081369;
30.5.-5.6.2010;0.079881;
6.6.-12.6.2010;0.083214;
13.6.-19.6.2010;0.080893;
20.6.-26.6.2010;0.080417;
27.6.-3.7.2010;0.078155;
4.7.-10.7.2010;0.083571;
11.7.-17.7.2010;0.087083;
18.7.-24.7.2010;0.087619;
25.7.-31.7.2010;0.076964;
1.8.-7.8.2010;0.074524;
8.8.-14.8.2010;0.090774;
15.8.-21.8.2010;0.097679;
22.8.-28.8.2010;0.077083;
29.8.-4.9.2010;0.082798;
5.9.-11.9.2010;0.084167;
12.9.-18.9.2010;0.077678;
19.9.-25.9.2010;0.079464;
26.9.-2.10.2010;0.078571;
3.10.-9.10.2010;0.084643;
10.10.-16.10.2010;0.081607;
17.10.-23.10.2010;0.080417;
24.10.-30.10.2010;0.075060;
31.10.-6.11.2010;0.079583;
7.11.-13.11.2010;0.081131;
14.11.-20.11.2010;0.076548;
21.11.-27.11.2010;0.079762;
28.11.-4.12.2010;0.080357;
5.12.-11.12.2010;0.081428;
12.12.-18.12.2010;0.070952;
19.12.-25.12.2010;0.082500;
26.12.-31.12.2010;0.081181;
