Date;Proton60;
1.1.-7.1.2018;0.107917;
8.1.-14.1.2018;0.110417;
15.1.-21.1.2018;0.117679;
22.1.-28.1.2018;0.113809;
29.1.-4.2.2018;0.110655;
5.2.-11.2.2018;0.113036;
12.2.-18.2.2018;0.118750;
19.2.-25.2.2018;0.114822;
26.2.-4.3.2018;0.112857;
5.3.-11.3.2018;0.114167;
12.3.-18.3.2018;0.118036;
19.3.-25.3.2018;0.115952;
26.3.-1.4.2018;0.112381;
2.4.-8.4.2018;0.115952;
9.4.-15.4.2018;0.117381;
16.4.-22.4.2018;0.117560;
23.4.-29.4.2018;0.112976;
30.4.-6.5.2018;0.116548;
7.5.-13.5.2018;0.113036;
14.5.-20.5.2018;0.117679;
21.5.-27.5.2018;0.112679;
28.5.-3.6.2018;0.116131;
4.6.-10.6.2018;0.122678;
11.6.-17.6.2018;0.127024;
18.6.-24.6.2018;0.113274;
25.6.-1.7.2018;0.114702;
2.7.-8.7.2018;0.123036;
9.7.-15.7.2018;0.125000;
16.7.-22.7.2018;0.121071;
23.7.-29.7.2018;0.121845;
30.7.-5.8.2018;0.125774;
6.8.-12.8.2018;0.122202;
13.8.-19.8.2018;0.123214;
20.8.-26.8.2018;0.119702;
27.8.-2.9.2018;0.125893;
3.9.-9.9.2018;0.125536;
10.9.-16.9.2018;0.122500;
17.9.-23.9.2018;0.122798;
24.9.-30.9.2018;0.123810;
1.10.-7.10.2018;0.128095;
8.10.-14.10.2018;0.122559;
15.10.-21.10.2018;0.122083;
22.10.-28.10.2018;0.126250;
29.10.-4.11.2018;0.129762;
5.11.-11.11.2018;0.121369;
12.11.-18.11.2018;0.120357;
19.11.-25.11.2018;0.127083;
26.11.-2.12.2018;0.130357;
3.12.-9.12.2018;0.122917;
10.12.-16.12.2018;0.123214;
17.12.-23.12.2018;0.127917;
24.12.-30.12.2018;0.130714;
