Week;Zraneni;
1.tyzden.2010;24;
2.tyzden.2010;19;
3.tyzden.2010;26;
4.tyzden.2010;20;
5.tyzden.2010;21;
6.tyzden.2010;23;
7.tyzden.2010;21;
8.tyzden.2010;27;
9.tyzden.2010;22;
10.tyzden.2010;21;
11.tyzden.2010;24;
12.tyzden.2010;20;
13.tyzden.2010;13;
14.tyzden.2010;25;
15.tyzden.2010;18;
16.tyzden.2010;18;
17.tyzden.2010;30;
18.tyzden.2010;19;
19.tyzden.2010;27;
20.tyzden.2010;20;
21.tyzden.2010;25;
22.tyzden.2010;34;
23.tyzden.2010;36;
24.tyzden.2010;23;
25.tyzden.2010;18;
26.tyzden.2010;32;
27.tyzden.2010;23;
28.tyzden.2010;32;
29.tyzden.2010;23;
30.tyzden.2010;23;
31.tyzden.2010;26;
32.tyzden.2010;32;
33.tyzden.2010;15;
34.tyzden.2010;30;
35.tyzden.2010;27;
36.tyzden.2010;25;
37.tyzden.2010;31;
38.tyzden.2010;27;
39.tyzden.2010;17;
40.tyzden.2010;24;
41.tyzden.2010;22;
42.tyzden.2010;20;
43.tyzden.2010;31;
44.tyzden.2010;28;
45.tyzden.2010;29;
46.tyzden.2010;23;
47.tyzden.2010;19;
48.tyzden.2010;14;
49.tyzden.2010;28;
50.tyzden.2010;22;
51.tyzden.2010;23;
52.tyzden.2010;21;
