Week;Nehodovost;Speed
32.tyzden.2013;296;428.851190
33.tyzden.2013;261;517.529762
34.tyzden.2013;256;463.714286
35.tyzden.2013;249;403.428572
36.tyzden.2013;278;406.244048
37.tyzden.2013;262;409.732143
38.tyzden.2013;281;425.619048
39.tyzden.2013;264;338.696428
40.tyzden.2013;242;377.154762
41.tyzden.2013;269;395.928572
42.tyzden.2013;278;410.476191
43.tyzden.2013;277;313.601191
44.tyzden.2013;236;336.244048
45.tyzden.2013;276;405.095238
46.tyzden.2013;268;417.583333
47.tyzden.2013;308;352.220238
48.tyzden.2013;258;338.464286
49.tyzden.2013;311;392.898809
50.tyzden.2013;247;392.291667
51.tyzden.2013;303;369.113095
52.tyzden.2013;280;312.856482
1.tyzden.2014;148;495.616667
2.tyzden.2014;195;400.851190
3.tyzden.2014;216;469.035714
4.tyzden.2014;241;382.035714
5.tyzden.2014;249;364.041667
6.tyzden.2014;200;384.529762
7.tyzden.2014;228;405.892857
8.tyzden.2014;222;463.779762
9.tyzden.2014;196;405.535714
10.tyzden.2014;228;394.232143
11.tyzden.2014;234;354.119048
12.tyzden.2014;253;356.285714
13.tyzden.2014;211;416.898810
14.tyzden.2014;219;408.053571
15.tyzden.2014;250;384.261905
16.tyzden.2014;245;417.892857
17.tyzden.2014;224;435.434524
18.tyzden.2014;256;321.345238
19.tyzden.2014;256;363.035714
20.tyzden.2014;260;351.940476
21.tyzden.2014;310;380.690476
22.tyzden.2014;247;327.976190
23.tyzden.2014;276;361.708333
24.tyzden.2014;268;435.071429
25.tyzden.2014;245;406.797619
26.tyzden.2014;281;332.470238
27.tyzden.2014;248;312.702381
28.tyzden.2014;260;343.744048
29.tyzden.2014;281;356.934524
30.tyzden.2014;263;330.982143
31.tyzden.2014;238;361.797619
32.tyzden.2014;250;394.220238
33.tyzden.2014;246;372.023810
34.tyzden.2014;248;325.089286
35.tyzden.2014;255;345.636905
36.tyzden.2014;220;391.404762
37.tyzden.2014;250;448.761905
38.tyzden.2014;236;435.910714
39.tyzden.2014;247;423.982143
40.tyzden.2014;303;368.410714
41.tyzden.2014;279;350.178572
42.tyzden.2014;304;412.500000
43.tyzden.2014;298;452.089286
44.tyzden.2014;259;412.934524
45.tyzden.2014;253;453.196428
46.tyzden.2014;260;511.029762
47.tyzden.2014;253;408.607143
48.tyzden.2014;234;363.636905
49.tyzden.2014;276;513.380952
50.tyzden.2014;273;519.440476
51.tyzden.2014;323;391.958334
52.tyzden.2014;305;478.075000
1.tyzden.2015;103;443.843750
2.tyzden.2015;103;466.803571
3.tyzden.2015;259;386.880952
4.tyzden.2015;217;369.791666
5.tyzden.2015;240;431.148810
6.tyzden.2015;205;495.464286
7.tyzden.2015;239;357.863095
8.tyzden.2015;220;362.297619
9.tyzden.2015;181;424.684524
tyzden.2015;206;506.589286
11.tyzden.2015;225;382.559524
12.tyzden.2015;221;562.559524
13.tyzden.2015;236;471.041667
tyzden.2015;211;447.898810
15.tyzden.2015;213;386.672619
16.tyzden.2015;240;477.452381
tyzden.2015;257;423.404762
18.tyzden.2015;230;345.869048
19.tyzden.2015;220;390.494048
20.tyzden.2015;251;483.178571
21.tyzden.2015;256;398.190476
22.tyzden.2015;287;341.285714
23.tyzden.2015;310;310.785714
24.tyzden.2015;282;554.375000
25.tyzden.2015;258;421.583333
26.tyzden.2015;256;550.351190
27.tyzden.2015;273;389.327381
28.tyzden.2015;246;458.934524
29.tyzden.2015;275;438.244048
30.tyzden.2015;284;388.720238
31.tyzden.2015;235;469.345238
32.tyzden.2015;266;477.321429
33.tyzden.2015;269;425.202381
34.tyzden.2015;295;474.220238
35.tyzden.2015;272;407.452381
36.tyzden.2015;276;420.863095
37.tyzden.2015;269;489.619048
38.tyzden.2015;264;462.904762
39.tyzden.2015;285;487.011905
40.tyzden.2015;285;361.035714
41.tyzden.2015;261;550.994048
42.tyzden.2015;296;446.190476
43.tyzden.2015;274;420.750000
44.tyzden.2015;287;345.636905
45.tyzden.2015;279;517.172619
46.tyzden.2015;285;516.184524
47.tyzden.2015;260;383.785714
48.tyzden.2015;283;308.970238
49.tyzden.2015;284;443.547619
50.tyzden.2015;292;555.464286
51.tyzden.2015;302;447.928572
52.tyzden.2015;349;454.564394
1.tyzden.2016;241;475.154167
2.tyzden.2016;251;453.261905
3.tyzden.2016;235;425.148809
4.tyzden.2016;228;336.892857
5.tyzden.2016;219;384.696429
6.tyzden.2016;241;378.279762
7.tyzden.2016;239;499.500000
8.tyzden.2016;191;356.309524
9.tyzden.2016;208;386.136905
10.tyzden.2016;210;439.315476
11.tyzden.2016;235;463.773810
12.tyzden.2016;207;428.505952
13.tyzden.2016;175;452.392857
14.tyzden.2016;239;366.940476
15.tyzden.2016;257;421.690476
16.tyzden.2016;246;418.654762
17.tyzden.2016;236;423.113095
18.tyzden.2016;245;465.166667
19.tyzden.2016;269;460.470238
20.tyzden.2016;218;487.779762
21.tyzden.2016;277;430.809524
22.tyzden.2016;260;403.375000
23.tyzden.2016;289;449.839286
24.tyzden.2016;294;549.803571
25.tyzden.2016;302;437.625000
26.tyzden.2016;293;407.047619
27.tyzden.2016;256;473.250000
28.tyzden.2016;277;548.273810
29.tyzden.2016;236;413.779762
30.tyzden.2016;255;416.654762
31.tyzden.2016;251;503.785714
32.tyzden.2016;277;526.035714
33.tyzden.2016;274;334.886905
34.tyzden.2016;281;444.898810
35.tyzden.2016;231;516.678572
36.tyzden.2016;318;454.642857
37.tyzden.2016;299;304.952381
38.tyzden.2016;277;456.541667
39.tyzden.2016;246;570.458333
40.tyzden.2016;253;454.613095
41.tyzden.2016;252;429.184524
42.tyzden.2016;293;482.672619
43.tyzden.2016;260;572.351191
44.tyzden.2016;233;406.244048
45.tyzden.2016;275;439.202381
46.tyzden.2016;281;430.107143
47.tyzden.2016;280;495.339286
48.tyzden.2016;279;368.750000
49.tyzden.2016;300;498.476191
50.tyzden.2016;284;437.375000
51.tyzden.2016;275;548.601191
52.tyzden.2016;194;475.701389
