"Year";"Correlation";"parameter"
"2010-2018";-0.28944412052519;"Lyman alpha solar index"
"2010-2018";-0.289335056487607;"Solar index_F10.7"
"2010-2018";-0.263219653076383;"R sunspot number"
"2010-2018";-0.226426480426116;"Kp index"
"2010-2018";-0.187807534203703;"Ap index"
"2010-2018";-0.16879492375726;"Solar wind density"
"2010-2018";-0.14299288722571;"Polar cap south (Vostok)"
"2010-2018";-0.124166784585966;"Polar cap north (Thule)"
"2010-2018";-0.0969384930212693;"Solar wind temperature"
"2010-2018";0.0733755915329748;"Dst index"
"2010-2018";-0.0701388327071431;"Solar wind speed"
"2010-2018";-0.0658928205978741;"Proton flux over 10 MeV"
"2010-2018";-0.0603422272027044;"Proton flux over 30 MeV"
"2010-2018";-0.0510257164044554;"Proton flux over 60 MeV"
