Week;Nehodovost;AU
1.tyzden.2016;241;51.600000
2.tyzden.2016;251;56.303572
3.tyzden.2016;235;77.869048
4.tyzden.2016;228;35.589286
5.tyzden.2016;219;57.928571
6.tyzden.2016;241;71.976191
7.tyzden.2016;239;99.184524
8.tyzden.2016;191;39.119048
9.tyzden.2016;208;41.815476
10.tyzden.2016;210;74.202381
11.tyzden.2016;235;111.113095
12.tyzden.2016;207;42.607143
13.tyzden.2016;175;65.702381
14.tyzden.2016;239;53.029762
15.tyzden.2016;257;121.369048
16.tyzden.2016;246;42.726191
17.tyzden.2016;236;60.065476
18.tyzden.2016;245;127.339286
19.tyzden.2016;269;105.202381
20.tyzden.2016;218;94.214286
21.tyzden.2016;277;72.136905
22.tyzden.2016;260;80.559524
23.tyzden.2016;289;89.779762
24.tyzden.2016;294;78.333333
25.tyzden.2016;302;71.607143
26.tyzden.2016;293;66.952381
27.tyzden.2016;256;104.660714
28.tyzden.2016;277;93.244048
29.tyzden.2016;236;75.702381
30.tyzden.2016;255;87.839286
31.tyzden.2016;251;102.696429
32.tyzden.2016;277;88.982143
33.tyzden.2016;274;53.708333
34.tyzden.2016;281;67.839286
35.tyzden.2016;231;125.244048
36.tyzden.2016;318;68.886905
37.tyzden.2016;299;58.648810
38.tyzden.2016;277;57.470238
39.tyzden.2016;246;108.678572
40.tyzden.2016;253;56.565476
41.tyzden.2016;252;64.815476
42.tyzden.2016;293;42.869048
43.tyzden.2016;260;143.172619
44.tyzden.2016;233;59.726190
45.tyzden.2016;275;63.077381
46.tyzden.2016;281;30.250000
47.tyzden.2016;280;63.297619
48.tyzden.2016;279;23.648809
49.tyzden.2016;300;66.803572
50.tyzden.2016;284;28.500000
51.tyzden.2016;275;70.309524
52.tyzden.2016;194;50.083333
