Week;Nehodovost;AU
1.tyzden.2014;148;48.491667
2.tyzden.2014;195;39.803572
3.tyzden.2014;216;27.166667
4.tyzden.2014;241;26.738095
5.tyzden.2014;249;19.261905
6.tyzden.2014;200;53.994048
7.tyzden.2014;228;37.773809
8.tyzden.2014;222;81.494047
9.tyzden.2014;196;40.642857
10.tyzden.2014;228;26.535714
11.tyzden.2014;234;37.077381
12.tyzden.2014;253;37.172619
13.tyzden.2014;211;35.696429
14.tyzden.2014;219;36.845238
15.tyzden.2014;250;85.547619
16.tyzden.2014;245;70.958333
17.tyzden.2014;224;69.666667
18.tyzden.2014;256;87.940476
19.tyzden.2014;256;87.071429
20.tyzden.2014;260;44.940476
21.tyzden.2014;310;62.107143
22.tyzden.2014;247;47.273809
23.tyzden.2014;276;81.880953
24.tyzden.2014;268;57.154762
25.tyzden.2014;245;89.333333
26.tyzden.2014;281;52.410714
27.tyzden.2014;248;51.386905
28.tyzden.2014;260;90.696429
29.tyzden.2014;281;34.255952
30.tyzden.2014;263;55.089286
31.tyzden.2014;238;68.273809
32.tyzden.2014;250;84.053571
33.tyzden.2014;246;51.636905
34.tyzden.2014;248;59.708333
35.tyzden.2014;255;114.029762
36.tyzden.2014;220;90.029762
37.tyzden.2014;250;66.994048
38.tyzden.2014;236;43.285714
39.tyzden.2014;247;98.994048
40.tyzden.2014;303;61.470238
41.tyzden.2014;279;55.202381
42.tyzden.2014;304;62.029762
43.tyzden.2014;298;85.017857
44.tyzden.2014;259;55.017857
45.tyzden.2014;253;57.785714
46.tyzden.2014;260;56.791667
47.tyzden.2014;253;59.226191
48.tyzden.2014;234;36.273810
49.tyzden.2014;276;87.190476
50.tyzden.2014;273;78.422619
51.tyzden.2014;323;61.982143
52.tyzden.2014;305;83.545833
