Week;Nehodovost;AU
1.tyzden.2010;438;9.462963
2.tyzden.2010;367;22.041667
3.tyzden.2010;499;19.696428
4.tyzden.2010;470;15.964286
5.tyzden.2010;404;37.113095
6.tyzden.2010;406;37.970238
7.tyzden.2010;369;47.583333
8.tyzden.2010;412;20.136905
9.tyzden.2010;351;33.196428
10.tyzden.2010;434;42.220238
11.tyzden.2010;402;28.744048
12.tyzden.2010;399;21.827381
13.tyzden.2010;331;59.297619
14.tyzden.2010;354;101.595238
15.tyzden.2010;407;47.446429
16.tyzden.2010;401;48.142857
17.tyzden.2010;398;33.386905
18.tyzden.2010;416;92.601191
19.tyzden.2010;386;28.369048
20.tyzden.2010;436;56.732143
21.tyzden.2010;419;72.357143
22.tyzden.2010;433;105.380952
23.tyzden.2010;444;44.136905
24.tyzden.2010;390;70.107143
25.tyzden.2010;360;48.339286
26.tyzden.2010;443;80.339286
27.tyzden.2010;429;36.273810
28.tyzden.2010;408;46.714286
29.tyzden.2010;411;35.952381
30.tyzden.2010;404;74.095238
31.tyzden.2010;391;73.684524
32.tyzden.2010;408;48.273810
33.tyzden.2010;427;36.422619
34.tyzden.2010;414;60.160714
35.tyzden.2010;378;24.315476
36.tyzden.2010;403;44.898810
37.tyzden.2010;417;40.886905
38.tyzden.2010;434;35.029762
39.tyzden.2010;451;22.702381
40.tyzden.2010;428;27.285714
41.tyzden.2010;464;48.136905
42.tyzden.2010;461;52.351190
43.tyzden.2010;477;32.386905
44.tyzden.2010;363;23.369048
45.tyzden.2010;451;39.988095
46.tyzden.2010;461;32.505952
47.tyzden.2010;490;33.333333
48.tyzden.2010;494;21.767857
49.tyzden.2010;437;19.226191
50.tyzden.2010;474;39.678571
51.tyzden.2010;408;28.732143
52.tyzden.2010;314;22.187500
