"Year";"Correlation";"parameter"
"2010-2012";-0.639577365313027;"Lyman alpha solar index"
"2010-2012";-0.639573544476602;"Solar index_F10.7"
"2010-2012";-0.597171555633105;"R sunspot number"
"2010-2012";-0.28941943126636;"Polar cap south (Vostok)"
"2010-2012";-0.28682410224587;"Kp index"
"2010-2012";-0.262650548247909;"Ap index"
"2010-2012";-0.201950103099145;"Polar cap north (Thule)"
"2010-2012";0.155924128941422;"Dst index"
"2010-2012";-0.150373943211776;"Proton flux over 30 MeV"
"2010-2012";-0.146880576076696;"Proton flux over 10 MeV"
"2010-2012";-0.137350851449815;"Proton flux over 60 MeV"
"2010-2012";-0.133002542194759;"Solar wind temperature"
"2010-2012";-0.0602423684668093;"Solar wind speed"
"2010-2012";-0.0375950748141579;"Solar wind density"
