Week;Nehodovost;
1.tyzden.2014;148;
2.tyzden.2014;195;
3.tyzden.2014;216;
4.tyzden.2014;241;
5.tyzden.2014;249;
6.tyzden.2014;200;
7.tyzden.2014;228;
8.tyzden.2014;222;
9.tyzden.2014;196;
10.tyzden.2014;228;
11.tyzden.2014;234;
12.tyzden.2014;253;
13.tyzden.2014;211;
14.tyzden.2014;219;
15.tyzden.2014;250;
16.tyzden.2014;245;
17.tyzden.2014;224;
18.tyzden.2014;256;
19.tyzden.2014;256;
20.tyzden.2014;260;
21.tyzden.2014;310;
22.tyzden.2014;247;
23.tyzden.2014;276;
24.tyzden.2014;268;
25.tyzden.2014;245;
26.tyzden.2014;281;
27.tyzden.2014;248;
28.tyzden.2014;260;
29.tyzden.2014;281;
30.tyzden.2014;263;
31.tyzden.2014;238;
32.tyzden.2014;250;
33.tyzden.2014;246;
34.tyzden.2014;248;
35.tyzden.2014;255;
36.tyzden.2014;220;
37.tyzden.2014;250;
38.tyzden.2014;236;
39.tyzden.2014;247;
40.tyzden.2014;303;
41.tyzden.2014;279;
42.tyzden.2014;304;
43.tyzden.2014;298;
44.tyzden.2014;259;
45.tyzden.2014;253;
46.tyzden.2014;260;
47.tyzden.2014;253;
48.tyzden.2014;234;
49.tyzden.2014;276;
50.tyzden.2014;273;
51.tyzden.2014;323;
52.tyzden.2014;305;
