Week;Usmrteni;
1.tyzden.2014;6;
2.tyzden.2014;11;
3.tyzden.2014;12;
4.tyzden.2014;7;
5.tyzden.2014;8;
6.tyzden.2014;7;
7.tyzden.2014;14;
8.tyzden.2014;5;
9.tyzden.2014;2;
10.tyzden.2014;2;
11.tyzden.2014;7;
12.tyzden.2014;10;
13.tyzden.2014;2;
14.tyzden.2014;3;
15.tyzden.2014;3;
16.tyzden.2014;3;
17.tyzden.2014;16;
18.tyzden.2014;3;
19.tyzden.2014;3;
20.tyzden.2014;6;
21.tyzden.2014;7;
22.tyzden.2014;6;
23.tyzden.2014;17;
24.tyzden.2014;6;
25.tyzden.2014;3;
26.tyzden.2014;7;
27.tyzden.2014;4;
28.tyzden.2014;6;
29.tyzden.2014;7;
30.tyzden.2014;3;
31.tyzden.2014;2;
32.tyzden.2014;13;
33.tyzden.2014;7;
34.tyzden.2014;17;
35.tyzden.2014;7;
36.tyzden.2014;11;
37.tyzden.2014;6;
38.tyzden.2014;8;
39.tyzden.2014;8;
40.tyzden.2014;5;
41.tyzden.2014;6;
42.tyzden.2014;3;
43.tyzden.2014;6;
44.tyzden.2014;5;
45.tyzden.2014;2;
46.tyzden.2014;12;
47.tyzden.2014;4;
48.tyzden.2014;10;
49.tyzden.2014;5;
50.tyzden.2014;5;
51.tyzden.2014;4;
52.tyzden.2014;11;
