Date;PCN;
1.1.-7.1.2018;0.373394;
8.1.-14.1.2018;0.541472;
15.1.-21.1.2018;0.549044;
22.1.-28.1.2018;0.779004;
29.1.-4.2.2018;0.430310;
5.2.-11.2.2018;0.398770;
12.2.-18.2.2018;0.719485;
19.2.-25.2.2018;0.997537;
26.2.-4.3.2018;0.974399;
5.3.-11.3.2018;0.609418;
12.3.-18.3.2018;1.362052;
19.3.-25.3.2018;1.304922;
26.3.-1.4.2018;0.629676;
2.4.-8.4.2018;0.363562;
9.4.-15.4.2018;1.336846;
16.4.-22.4.2018;0.986216;
23.4.-29.4.2018;0.391466;
30.4.-6.5.2018;0.680391;
7.5.-13.5.2018;1.666164;
14.5.-20.5.2018;0.799300;
21.5.-27.5.2018;1.303996;
28.5.-3.6.2018;1.279886;
4.6.-10.6.2018;0.818234;
11.6.-17.6.2018;0.693999;
18.6.-24.6.2018;0.797211;
25.6.-1.7.2018;1.134566;
2.7.-8.7.2018;0.630318;
9.7.-15.7.2018;0.561907;
16.7.-22.7.2018;0.739109;
23.7.-29.7.2018;0.907150;
30.7.-5.8.2018;0.580076;
6.8.-12.8.2018;0.497733;
13.8.-19.8.2018;0.976975;
20.8.-26.8.2018;1.292826;
27.8.-2.9.2018;0.809993;
3.9.-9.9.2018;0.604544;
10.9.-16.9.2018;1.218659;
17.9.-23.9.2018;1.013644;
24.9.-30.9.2018;0.736177;
1.10.-7.10.2018;0.694702;
8.10.-14.10.2018;1.338313;
15.10.-21.10.2018;0.282677;
22.10.-28.10.2018;0.398886;
29.10.-4.11.2018;0.392660;
5.11.-11.11.2018;1.147844;
12.11.-18.11.2018;0.215634;
19.11.-25.11.2018;0.296696;
26.11.-2.12.2018;0.357742;
3.12.-9.12.2018;0.666631;
10.12.-16.12.2018;0.267363;
17.12.-23.12.2018;0.384101;
24.12.-30.12.2018;0.763002;
