Date;PCN;
1.1.-8.1.2012;0.570965;
9.1.-15.1.2012;0.494748;
16.1.-22.1.2012;0.860069;
23.1.-29.1.2012;1.608139;
30.1.-5.2.2012;0.885555;
6.2.-12.2.2012;0.841684;
13.2.-19.2.2012;1.170129;
20.2.-26.2.2012;0.894243;
27.2.-4.3.2012;1.443837;
5.3.-11.3.2012;2.569863;
12.3.-18.3.2012;2.146568;
19.3.-25.3.2012;0.584051;
26.3.-1.4.2012;0.683310;
2.4.-8.4.2012;0.763094;
9.4.-15.4.2012;0.893991;
16.4.-22.4.2012;0.872667;
23.4.-29.4.2012;1.700151;
30.4.-6.5.2012;0.316080;
7.5.-13.5.2012;1.394576;
14.5.-20.5.2012;0.660109;
21.5.-27.5.2012;1.042327;
28.5.-3.6.2012;0.444961;
4.6.-10.6.2012;1.827443;
11.6.-17.6.2012;1.260914;
18.6.-24.6.2012;0.309722;
25.6.-1.7.2012;0.847448;
2.7.-8.7.2012;0.977322;
9.7.-15.7.2012;2.376897;
16.7.-22.7.2012;1.375891;
23.7.-29.7.2012;0.588547;
30.7.-5.8.2012;0.895812;
6.8.-12.8.2012;0.606867;
13.8.-19.8.2012;0.798840;
20.8.-26.8.2012;0.875285;
27.8.-2.9.2012;0.624685;
3.9.-9.9.2012;1.627849;
10.9.-16.9.2012;0.448278;
17.9.-23.9.2012;0.679238;
24.9.-30.9.2012;0.482567;
1.10.-7.10.2012;0.756230;
8.10.-14.10.2012;2.276259;
15.10.-21.10.2012;0.484385;
22.10.-28.10.2012;0.506320;
29.10.-4.11.2012;0.620225;
5.11.-11.11.2012;0.389103;
12.11.-18.11.2012;1.099640;
19.11.-25.11.2012;1.121185;
26.11.-2.12.2012;0.432408;
3.12.-9.12.2012;0.215220;
10.12.-16.12.2012;0.714328;
17.12.-23.12.2012;0.717047;
24.12.-31.12.2012;0.310317;
