Date;PCN;
1.1.-4.1.2015;1.091866;
5.1.-11.1.2015;0.956783;
12.1.-18.1.2015;0.419810;
19.1.-25.1.2015;0.486081;
26.1.-1.2.2015;1.006638;
2.2.-8.2.2015;1.115861;
9.2.-15.2.2015;0.252181;
16.2.-22.2.2015;0.867978;
23.2.-1.3.2015;1.076774;
2.3.-8.3.2015;1.158071;
9.3.-15.3.2015;0.382546;
16.3.-22.3.2015;2.085449;
23.3.-29.3.2015;1.271920;
30.3.-5.4.2015;0.476683;
6.4.-12.4.2015;0.857190;
13.4.-19.4.2015;1.526517;
20.4.-26.4.2015;0.584408;
27.4.-3.5.2015;0.416013;
4.5.-10.5.2015;0.666161;
11.5.-17.5.2015;1.904961;
18.5.-24.5.2015;0.516801;
25.5.-31.5.2015;0.444789;
1.6.-7.6.2015;-0.014370;
8.6.-14.6.2015;1.910602;
15.6.-21.6.2015;0.621874;
22.6.-28.6.2015;1.473975;
29.6.-5.7.2015;0.862287;
6.7.-12.7.2015;0.199705;
13.7.-19.7.2015;1.065566;
20.7.-26.7.2015;-0.551072;
27.7.-2.8.2015;1.093598;
3.8.-9.8.2015;1.146685;
10.8.-16.8.2015;1.261020;
17.8.-23.8.2015;1.141920;
24.8.-30.8.2015;1.825226;
31.8.-6.9.2015;0.785312;
7.9.-13.9.2015;1.902646;
14.9.-20.9.2015;1.328087;
21.9.-27.9.2015;0.411095;
28.9.-4.10.2015;1.207219;
5.10.-11.10.2015;2.365454;
12.10.-18.10.2015;1.723925;
19.10.-25.10.2015;0.572082;
26.10.-1.11.2015;0.458008;
2.11.-8.11.2015;1.743216;
9.11.-15.11.2015;1.670883;
16.11.-22.11.2015;0.735089;
23.11.-29.11.2015;0.179620;
30.11.-6.12.2015;1.223034;
7.12.-13.12.2015;1.341955;
14.12.-20.12.2015;1.288649;
21.12.-31.12.2015;1.008264;
