Date;PCN;
1.1.-6.1.2013;0.229888;
7.1.-13.1.2013;0.470304;
14.1.-20.1.2013;0.857536;
21.1.-27.1.2013;0.613742;
28.1.-3.2.2013;0.451150;
4.2.-10.2.2013;0.578219;
11.2.-17.2.2013;0.950739;
18.2.-24.2.2013;0.936695;
25.2.-3.3.2013;1.092494;
4.3.-10.3.2013;0.472224;
11.3.-17.3.2013;1.217980;
18.3.-24.3.2013;0.766610;
25.3.-31.3.2013;1.224625;
1.4.-7.4.2013;0.780727;
8.4.-14.4.2013;0.371377;
15.4.-21.4.2013;0.157805;
22.4.-28.4.2013;1.215333;
29.4.-5.5.2013;1.311481;
6.5.-12.5.2013;0.273573;
13.5.-19.5.2013;1.304599;
20.5.-26.5.2013;2.042263;
27.5.-2.6.2013;1.332860;
3.6.-9.6.2013;1.203154;
10.6.-16.6.2013;0.454377;
17.6.-23.6.2013;1.793182;
24.6.-30.6.2013;1.676818;
1.7.-7.7.2013;0.586587;
8.7.-14.7.2013;1.916305;
15.7.-21.7.2013;0.968118;
22.7.-28.7.2013;0.741778;
29.7.-4.8.2013;0.451515;
5.8.-11.8.2013;0.461225;
12.8.-18.8.2013;1.107106;
19.8.-25.8.2013;1.071821;
26.8.-1.9.2013;0.938803;
2.9.-8.9.2013;0.467744;
9.9.-15.9.2013;0.471854;
16.9.-22.9.2013;0.780225;
23.9.-29.9.2013;0.238275;
30.9.-6.10.2013;0.650871;
7.10.-13.10.2013;0.926764;
14.10.-20.10.2013;0.938528;
21.10.-27.10.2013;0.145351;
28.10.-3.11.2013;0.639504;
4.11.-10.11.2013;0.968226;
11.11.-17.11.2013;0.857428;
18.11.-24.11.2013;0.277137;
25.11.-1.12.2013;0.347172;
2.12.-8.12.2013;0.665382;
9.12.-15.12.2013;0.423754;
16.12.-22.12.2013;0.391912;
23.12.-31.12.2013;0.284186;
