Date;PCN;
1.1.-9.1.2011;0.665514;
10.1.-16.1.2011;0.686085;
17.1.-23.1.2011;0.508087;
24.1.-30.1.2011;0.508513;
31.1.-6.2.2011;1.088204;
7.2.-13.2.2011;0.568767;
14.2.-20.2.2011;0.961110;
21.2.-27.2.2011;0.601040;
28.2.-6.3.2011;1.450677;
7.3.-13.3.2011;1.857554;
14.3.-20.3.2011;0.299613;
21.3.-27.3.2011;0.428547;
28.3.-3.4.2011;0.953007;
4.4.-10.4.2011;1.272068;
11.4.-17.4.2011;0.701637;
18.4.-24.4.2011;0.474494;
25.4.-1.5.2011;1.127084;
2.5.-8.5.2011;1.198348;
9.5.-15.5.2011;0.434185;
16.5.-22.5.2011;0.321877;
23.5.-29.5.2011;1.379147;
30.5.-5.6.2011;1.427831;
6.6.-12.6.2011;1.302357;
13.6.-19.6.2011;0.453200;
20.6.-26.6.2011;1.361538;
27.6.-3.7.2011;0.434227;
4.7.-10.7.2011;1.311373;
11.7.-17.7.2011;0.590895;
18.7.-24.7.2011;1.174855;
25.7.-31.7.2011;0.826171;
1.8.-7.8.2011;0.943032;
8.8.-14.8.2011;0.627552;
15.8.-21.8.2011;0.478010;
22.8.-28.8.2011;0.654409;
29.8.-4.9.2011;0.660036;
5.9.-11.9.2011;1.266258;
12.9.-18.9.2011;1.162045;
19.9.-25.9.2011;0.396404;
26.9.-2.10.2011;1.522705;
3.10.-9.10.2011;1.011702;
10.10.-16.10.2011;0.406649;
17.10.-23.10.2011;0.445773;
24.10.-30.10.2011;0.797140;
31.10.-6.11.2011;1.105955;
7.11.-13.11.2011;0.331955;
14.11.-20.11.2011;0.321024;
21.11.-27.11.2011;0.825575;
28.11.-4.12.2011;1.018689;
5.12.-11.12.2011;0.439521;
12.12.-18.12.2011;0.307693;
19.12.-25.12.2011;0.531139;
26.12.-31.12.2011;0.385898;
