Date;PCN;
1.1.-8.1.2017;1.273652;
9.1.-15.1.2017;0.506463;
16.1.-22.1.2017;0.878246;
23.1.-29.1.2017;0.768754;
30.1.-5.2.2017;1.683377;
6.2.-12.2.2017;0.658486;
13.2.-19.2.2017;0.898623;
20.2.-26.2.2017;0.792828;
27.2.-5.3.2017;1.773500;
6.3.-12.3.2017;1.524099;
13.3.-19.3.2017;0.354805;
20.3.-26.3.2017;0.807075;
27.3.-2.4.2017;2.103799;
3.4.-9.4.2017;1.046951;
10.4.-16.4.2017;0.954098;
17.4.-23.4.2017;1.657099;
24.4.-30.4.2017;1.633717;
1.5.-7.5.2017;0.174583;
8.5.-14.5.2017;0.429291;
15.5.-21.5.2017;1.447395;
22.5.-28.5.2017;1.538986;
29.5.-4.6.2017;0.460505;
5.6.-11.6.2017;0.538165;
12.6.-18.6.2017;1.029556;
19.6.-25.6.2017;1.003374;
26.6.-2.7.2017;0.279173;
3.7.-9.7.2017;0.948570;
10.7.-16.7.2017;1.021203;
17.7.-23.7.2017;1.250457;
24.7.-30.7.2017;0.846936;
31.7.-6.8.2017;1.077737;
7.8.-13.8.2017;0.707121;
14.8.-20.8.2017;1.466671;
21.8.-27.8.2017;1.281447;
28.8.-3.9.2017;1.161708;
4.9.-10.9.2017;1.572619;
11.9.-17.9.2017;1.780807;
18.9.-24.9.2017;0.944812;
25.9.-1.10.2017;1.542081;
2.10.-8.10.2017;0.626453;
9.10.-15.10.2017;1.808817;
16.10.-22.10.2017;0.780745;
23.10.-29.10.2017;0.898701;
30.10.-5.11.2017;0.300279;
6.11.-12.11.2017;1.518829;
13.11.-19.11.2017;0.911267;
20.11.-26.11.2017;0.982218;
27.11.-3.12.2017;0.319058;
4.12.-10.12.2017;1.002564;
11.12.-17.12.2017;0.828542;
18.12.-24.12.2017;0.597998;
25.12.-31.12.2017;0.620822;
