Date;PCN;
1.1.-10.1.2016;0.818649;
11.1.-17.1.2016;0.567925;
18.1.-24.1.2016;1.212473;
25.1.-31.1.2016;0.328645;
1.2.-7.2.2016;0.825674;
8.2.-14.2.2016;1.026715;
15.2.-21.2.2016;1.781876;
22.2.-28.2.2016;0.503604;
29.2.-6.3.2016;0.593514;
7.3.-13.3.2016;1.046067;
14.3.-20.3.2016;1.729643;
21.3.-27.3.2016;0.413469;
28.3.-3.4.2016;0.782522;
4.4.-10.4.2016;0.710342;
11.4.-17.4.2016;1.627510;
18.4.-24.4.2016;0.068721;
25.4.-1.5.2016;0.680321;
2.5.-8.5.2016;1.843262;
9.5.-15.5.2016;1.517780;
16.5.-22.5.2016;0.732008;
23.5.-29.5.2016;0.884109;
30.5.-5.6.2016;1.100861;
6.6.-12.6.2016;0.892742;
13.6.-19.6.2016;0.581805;
20.6.-26.6.2016;1.216857;
27.6.-3.7.2016;0.919465;
4.7.-10.7.2016;1.237052;
11.7.-17.7.2016;1.162740;
18.7.-24.7.2016;0.856094;
25.7.-31.7.2016;1.097489;
1.8.-7.8.2016;1.074928;
8.8.-14.8.2016;1.224265;
15.8.-21.8.2016;0.685942;
22.8.-28.8.2016;0.871064;
29.8.-4.9.2016;1.906500;
5.9.-11.9.2016;1.117807;
12.9.-18.9.2016;0.806071;
19.9.-25.9.2016;0.818337;
26.9.-2.10.2016;2.341118;
3.10.-9.10.2016;1.125831;
10.10.-16.10.2016;1.223056;
17.10.-23.10.2016;0.710885;
24.10.-30.10.2016;2.759640;
31.10.-6.11.2016;1.044323;
7.11.-13.11.2016;0.885758;
14.11.-20.11.2016;0.308334;
21.11.-27.11.2016;1.583000;
28.11.-4.12.2016;0.336238;
5.12.-11.12.2016;1.150482;
12.12.-18.12.2016;0.236748;
19.12.-25.12.2016;1.524971;
26.12.-31.12.2016;0.907296;
