"Year";"Correlation";"parameter"
"2016-2018";-0.250185761650983;"Lyman alpha solar index"
"2016-2018";-0.169171872788078;"R sunspot number"
"2016-2018";-0.1658045238039;"Solar index_F10.7"
"2016-2018";-0.100672540654381;"Polar cap south (Vostok)"
"2016-2018";0.0930274170309137;"Dst index"
"2016-2018";0.0827006137327386;"Proton flux over 30 MeV"
"2016-2018";0.0808471454219876;"Proton flux over 60 MeV"
"2016-2018";0.072404144099596;"Proton flux over 10 MeV"
"2016-2018";-0.0534098744581338;"Solar wind density"
"2016-2018";-0.0424854454794846;"Kp index"
"2016-2018";0.0194351325602091;"Solar wind speed"
"2016-2018";-0.0170080101723863;"Polar cap north (Thule)"
"2016-2018";-0.0151281156555966;"Ap index"
"2016-2018";-0.00325432195271585;"Solar wind temperature"
