Date;AE;
1.1.-10.1.2016;158.550000;
11.1.-17.1.2016;133.160714;
18.1.-24.1.2016;219.059524;
25.1.-31.1.2016;92.767857;
1.2.-7.2.2016;165.505952;
8.2.-14.2.2016;165.750000;
15.2.-21.2.2016;292.916667;
22.2.-28.2.2016;87.880952;
29.2.-6.3.2016;110.190476;
7.3.-13.3.2016;200.315476;
14.3.-20.3.2016;312.732143;
21.3.-27.3.2016;98.720238;
28.3.-3.4.2016;184.297619;
4.4.-10.4.2016;129.113095;
11.4.-17.4.2016;333.613095;
18.4.-24.4.2016;98.035714;
25.4.-1.5.2016;149.750000;
2.5.-8.5.2016;353.291667;
9.5.-15.5.2016;265.946428;
16.5.-22.5.2016;205.095238;
23.5.-29.5.2016;153.976191;
30.5.-5.6.2016;180.797619;
6.6.-12.6.2016;212.029762;
13.6.-19.6.2016;177.500000;
20.6.-26.6.2016;169.470238;
27.6.-3.7.2016;146.541667;
4.7.-10.7.2016;233.625000;
11.7.-17.7.2016;246.672619;
18.7.-24.7.2016;154.553571;
25.7.-31.7.2016;211.166667;
1.8.-7.8.2016;266.714286;
8.8.-14.8.2016;230.476191;
15.8.-21.8.2016;125.928571;
22.8.-28.8.2016;182.053571;
29.8.-4.9.2016;395.755952;
5.9.-11.9.2016;208.875000;
12.9.-18.9.2016;128.220238;
19.9.-25.9.2016;138.267857;
26.9.-2.10.2016;448.708333;
3.10.-9.10.2016;195.178571;
10.10.-16.10.2016;240.154762;
17.10.-23.10.2016;134.119048;
24.10.-30.10.2016;504.458333;
31.10.-6.11.2016;190.601191;
7.11.-13.11.2016;181.630952;
14.11.-20.11.2016;79.750000;
21.11.-27.11.2016;267.392857;
28.11.-4.12.2016;70.434524;
5.12.-11.12.2016;209.916667;
12.12.-18.12.2016;73.785714;
19.12.-25.12.2016;286.934524;
26.12.-31.12.2016;168.486111;
