Date;AE;
1.1.-6.1.2013;31.361111;
7.1.-13.1.2013;63.071429;
14.1.-20.1.2013;129.583333;
21.1.-27.1.2013;96.690476;
28.1.-3.2.2013;69.369048;
4.2.-10.2.2013;89.714286;
11.2.-17.2.2013;159.482143;
18.2.-24.2.2013;151.654762;
25.2.-3.3.2013;172.005952;
4.3.-10.3.2013;67.678572;
11.3.-17.3.2013;180.744048;
18.3.-24.3.2013;128.619048;
25.3.-31.3.2013;211.476190;
1.4.-7.4.2013;86.136905;
8.4.-14.4.2013;72.279762;
15.4.-21.4.2013;55.916667;
22.4.-28.4.2013;221.523810;
29.4.-5.5.2013;233.744048;
6.5.-12.5.2013;118.750000;
13.5.-19.5.2013;268.297619;
20.5.-26.5.2013;337.738095;
27.5.-2.6.2013;257.976191;
3.6.-9.6.2013;273.809524;
10.6.-16.6.2013;110.720238;
17.6.-23.6.2013;272.119047;
24.6.-30.6.2013;348.464286;
1.7.-7.7.2013;238.333333;
8.7.-14.7.2013;420.005952;
15.7.-21.7.2013;205.613095;
22.7.-28.7.2013;204.696429;
29.7.-4.8.2013;146.273810;
5.8.-11.8.2013;150.321429;
12.8.-18.8.2013;222.952381;
19.8.-25.8.2013;223.083333;
26.8.-1.9.2013;210.964286;
2.9.-8.9.2013;114.386905;
9.9.-15.9.2013;106.113095;
16.9.-22.9.2013;138.023810;
23.9.-29.9.2013;68.047619;
30.9.-6.10.2013;121.892857;
7.10.-13.10.2013;147.791667;
14.10.-20.10.2013;171.857143;
21.10.-27.10.2013;39.970238;
28.10.-3.11.2013;123.494048;
4.11.-10.11.2013;158.285715;
11.11.-17.11.2013;139.428571;
18.11.-24.11.2013;57.928571;
25.11.-1.12.2013;74.303571;
2.12.-8.12.2013;108.160714;
9.12.-15.12.2013;82.202381;
16.12.-22.12.2013;71.279762;
23.12.-31.12.2013;64.398148;
