Date;AE;
1.1.-8.1.2012;99.187500;
9.1.-15.1.2012;77.910714;
16.1.-22.1.2012;127.202381;
23.1.-29.1.2012;208.541667;
30.1.-5.2.2012;123.863095;
6.2.-12.2.2012;137.494047;
13.2.-19.2.2012;210.577381;
20.2.-26.2.2012;149.553571;
27.2.-4.3.2012;249.339286;
5.3.-11.3.2012;396.053571;
12.3.-18.3.2012;361.261905;
19.3.-25.3.2012;128.392857;
26.3.-1.4.2012;173.505952;
2.4.-8.4.2012;193.952381;
9.4.-15.4.2012;173.321428;
16.4.-22.4.2012;179.964286;
23.4.-29.4.2012;302.583333;
30.4.-6.5.2012;99.023809;
7.5.-13.5.2012;271.886905;
14.5.-20.5.2012;160.077381;
21.5.-27.5.2012;194.488095;
28.5.-3.6.2012;165.011905;
4.6.-10.6.2012;254.767857;
11.6.-17.6.2012;261.041667;
18.6.-24.6.2012;133.267857;
25.6.-1.7.2012;237.053571;
2.7.-8.7.2012;218.136905;
9.7.-15.7.2012;442.535714;
16.7.-22.7.2012;286.744048;
23.7.-29.7.2012;159.785714;
30.7.-5.8.2012;192.488095;
6.8.-12.8.2012;170.565476;
13.8.-19.8.2012;205.791667;
20.8.-26.8.2012;212.845238;
27.8.-2.9.2012;145.166667;
3.9.-9.9.2012;309.898809;
10.9.-16.9.2012;82.339286;
17.9.-23.9.2012;140.601190;
24.9.-30.9.2012;79.047619;
1.10.-7.10.2012;135.547619;
8.10.-14.10.2012;366.321429;
15.10.-21.10.2012;81.803571;
22.10.-28.10.2012;80.595238;
29.10.-4.11.2012;121.922619;
5.11.-11.11.2012;77.732143;
12.11.-18.11.2012;162.630952;
19.11.-25.11.2012;158.815476;
26.11.-2.12.2012;60.904762;
3.12.-9.12.2012;38.458333;
10.12.-16.12.2012;86.553572;
17.12.-23.12.2012;102.744048;
24.12.-31.12.2012;45.317708;
