Date;AE;
1.1.-9.1.2011;104.574074;
10.1.-16.1.2011;116.708333;
17.1.-23.1.2011;86.434524;
24.1.-30.1.2011;74.952381;
31.1.-6.2.2011;165.547619;
7.2.-13.2.2011;72.535714;
14.2.-20.2.2011;130.755952;
21.2.-27.2.2011;71.833333;
28.2.-6.3.2011;224.517857;
7.3.-13.3.2011;280.500000;
14.3.-20.3.2011;54.880952;
21.3.-27.3.2011;77.666667;
28.3.-3.4.2011;160.630953;
4.4.-10.4.2011;200.255952;
11.4.-17.4.2011;139.244048;
18.4.-24.4.2011;110.392857;
25.4.-1.5.2011;185.797619;
2.5.-8.5.2011;189.178571;
9.5.-15.5.2011;106.375000;
16.5.-22.5.2011;117.363095;
23.5.-29.5.2011;259.500000;
30.5.-5.6.2011;229.815476;
6.6.-12.6.2011;232.886905;
13.6.-19.6.2011;131.178571;
20.6.-26.6.2011;261.071429;
27.6.-3.7.2011;142.464286;
4.7.-10.7.2011;245.648809;
11.7.-17.7.2011;162.601190;
18.7.-24.7.2011;223.851190;
25.7.-31.7.2011;136.875000;
1.8.-7.8.2011;173.482143;
8.8.-14.8.2011;145.559524;
15.8.-21.8.2011;104.488095;
22.8.-28.8.2011;111.672619;
29.8.-4.9.2011;120.815476;
5.9.-11.9.2011;208.202381;
12.9.-18.9.2011;209.327381;
19.9.-25.9.2011;64.922619;
26.9.-2.10.2011;264.761905;
3.10.-9.10.2011;164.815476;
10.10.-16.10.2011;67.232143;
17.10.-23.10.2011;61.101191;
24.10.-30.10.2011;111.857143;
31.10.-6.11.2011;165.982143;
7.11.-13.11.2011;48.994048;
14.11.-20.11.2011;41.958333;
21.11.-27.11.2011;103.702381;
28.11.-4.12.2011;129.910714;
5.12.-11.12.2011;57.964286;
12.12.-18.12.2011;38.714286;
19.12.-25.12.2011;68.517857;
26.12.-31.12.2011;62.868055;
