Week;Usmrteni;Kp
1.tyzden.2015;3;22.343750
2.tyzden.2015;3;24.857143
3.tyzden.2015;12;14.571429
4.tyzden.2015;9;15.607143
5.tyzden.2015;7;23.500000
6.tyzden.2015;1;24.160714
7.tyzden.2015;3;11.232143
8.tyzden.2015;5;20.910714
9.tyzden.2015;3;22.285714
tyzden.2015;5;25.107143
11.tyzden.2015;10;14.678571
12.tyzden.2015;9;36.964286
13.tyzden.2015;6;23.250000
tyzden.2015;2;19.767857
15.tyzden.2015;5;19.214286
16.tyzden.2015;4;28.589286
tyzden.2015;6;14.928571
18.tyzden.2015;12;12.964286
19.tyzden.2015;3;18.696429
20.tyzden.2015;3;23.982143
21.tyzden.2015;6;12.642857
22.tyzden.2015;6;12.053571
23.tyzden.2015;16;8.071429
24.tyzden.2015;1;26.500000
25.tyzden.2015;11;16.250000
26.tyzden.2015;10;32.500000
27.tyzden.2015;10;14.321429
28.tyzden.2015;2;18.250000
29.tyzden.2015;6;14.964286
30.tyzden.2015;7;17.392857
31.tyzden.2015;6;20.625000
32.tyzden.2015;11;20.428571
33.tyzden.2015;8;24.071429
34.tyzden.2015;9;26.017857
35.tyzden.2015;4;29.428571
36.tyzden.2015;10;20.428571
37.tyzden.2015;14;36.053571
38.tyzden.2015;8;28.357143
39.tyzden.2015;5;16.625000
40.tyzden.2015;9;17.642857
41.tyzden.2015;8;36.410714
42.tyzden.2015;17;27.982143
43.tyzden.2015;11;16.375000
44.tyzden.2015;9;10.535714
45.tyzden.2015;15;29.928571
46.tyzden.2015;15;27.428571
47.tyzden.2015;6;15.178571
48.tyzden.2015;8;7.910714
49.tyzden.2015;12;22.446429
50.tyzden.2015;8;26.392857
51.tyzden.2015;16;23.803571
52.tyzden.2015;10;23.340909
