Date;Proton60;
1.1.-5.1.2014;0.049000;
6.1.-12.1.2014;2.220298;
13.1.-19.1.2014;0.050119;
20.1.-26.1.2014;0.050774;
27.1.-2.2.2014;0.050000;
3.2.-9.2.2014;0.048750;
10.2.-16.2.2014;0.049107;
17.2.-23.2.2014;0.061845;
24.2.-2.3.2014;0.522619;
3.3.-9.3.2014;0.050536;
10.3.-16.3.2014;0.047857;
17.3.-23.3.2014;0.048214;
24.3.-30.3.2014;0.051191;
31.3.-6.4.2014;0.048690;
7.4.-13.4.2014;0.048333;
14.4.-20.4.2014;0.131012;
21.4.-27.4.2014;0.047321;
28.4.-4.5.2014;0.051547;
5.5.-11.5.2014;0.051429;
12.5.-18.5.2014;0.050298;
19.5.-25.5.2014;0.049286;
26.5.-1.6.2014;0.049643;
2.6.-8.6.2014;0.050595;
9.6.-15.6.2014;0.051547;
16.6.-22.6.2014;0.046369;
23.6.-29.6.2014;0.049048;
30.6.-6.7.2014;0.050179;
7.7.-13.7.2014;0.050000;
14.7.-20.7.2014;0.049048;
21.7.-27.7.2014;0.050595;
28.7.-3.8.2014;0.051191;
4.8.-10.8.2014;0.050417;
11.8.-17.8.2014;0.051190;
18.8.-24.8.2014;0.051429;
25.8.-31.8.2014;0.054107;
1.9.-7.9.2014;0.476309;
8.9.-14.9.2014;0.275238;
15.9.-21.9.2014;0.056488;
22.9.-28.9.2014;0.060595;
29.9.-5.10.2014;0.050298;
6.10.-12.10.2014;0.052619;
13.10.-19.10.2014;0.057441;
20.10.-26.10.2014;0.050119;
27.10.-2.11.2014;0.052798;
3.11.-9.11.2014;0.051310;
10.11.-16.11.2014;0.053512;
17.11.-23.11.2014;0.056548;
24.11.-30.11.2014;0.053393;
1.12.-7.12.2014;0.048393;
8.12.-14.12.2014;0.061905;
15.12.-21.12.2014;0.060833;
22.12.-31.12.2014;0.047333;
