Date;Proton60;
1.1.-8.1.2017;0.068177;
9.1.-15.1.2017;0.072024;
16.1.-22.1.2017;0.068929;
23.1.-29.1.2017;0.070714;
30.1.-5.2.2017;0.069048;
6.2.-12.2.2017;0.072083;
13.2.-19.2.2017;0.069643;
20.2.-26.2.2017;0.069821;
27.2.-5.3.2017;0.069643;
6.3.-12.3.2017;0.073452;
13.3.-19.3.2017;0.071726;
20.3.-26.3.2017;0.070655;
27.3.-2.4.2017;0.068452;
3.4.-9.4.2017;0.068631;
10.4.-16.4.2017;0.075179;
17.4.-23.4.2017;0.069047;
24.4.-30.4.2017;0.068750;
1.5.-7.5.2017;0.069762;
8.5.-14.5.2017;0.073690;
15.5.-21.5.2017;0.072024;
22.5.-28.5.2017;0.069702;
29.5.-4.6.2017;0.071429;
5.6.-11.6.2017;0.073036;
12.6.-18.6.2017;0.071905;
19.6.-25.6.2017;0.072441;
26.6.-2.7.2017;0.070060;
3.7.-9.7.2017;0.071786;
10.7.-16.7.2017;0.080178;
17.7.-23.7.2017;0.076250;
24.7.-30.7.2017;0.067500;
31.7.-6.8.2017;0.066309;
7.8.-13.8.2017;0.070476;
14.8.-20.8.2017;0.067441;
21.8.-27.8.2017;0.066845;
28.8.-3.9.2017;0.069583;
4.9.-10.9.2017;4.305774;
11.9.-17.9.2017;13.853274;
18.9.-24.9.2017;0.064524;
25.9.-1.10.2017;0.063214;
2.10.-8.10.2017;0.067500;
9.10.-15.10.2017;0.066488;
16.10.-22.10.2017;0.068750;
23.10.-29.10.2017;0.067083;
30.10.-5.11.2017;0.070119;
6.11.-12.11.2017;0.068809;
13.11.-19.11.2017;0.071488;
20.11.-26.11.2017;0.073869;
27.11.-3.12.2017;0.088810;
4.12.-10.12.2017;0.100952;
11.12.-17.12.2017;0.106548;
18.12.-24.12.2017;0.111369;
25.12.-31.12.2017;0.106429;
