Date;Proton60;
1.1.-8.1.2012;0.062865;
9.1.-15.1.2012;0.062500;
16.1.-22.1.2012;0.061845;
23.1.-29.1.2012;4.722857;
30.1.-5.2.2012;0.099821;
6.2.-12.2.2012;0.060357;
13.2.-19.2.2012;0.059226;
20.2.-26.2.2012;0.061548;
27.2.-4.3.2012;0.058155;
5.3.-11.3.2012;28.293333;
12.3.-18.3.2012;0.393452;
19.3.-25.3.2012;0.059167;
26.3.-1.4.2012;0.058691;
2.4.-8.4.2012;0.056786;
9.4.-15.4.2012;0.058810;
16.4.-22.4.2012;0.059464;
23.4.-29.4.2012;0.057679;
30.4.-6.5.2012;0.059524;
7.5.-13.5.2012;0.059286;
14.5.-20.5.2012;1.324881;
21.5.-27.5.2012;0.058809;
28.5.-3.6.2012;0.057440;
4.6.-10.6.2012;0.055952;
11.6.-17.6.2012;0.058869;
18.6.-24.6.2012;0.059464;
25.6.-1.7.2012;0.057559;
2.7.-8.7.2012;0.130119;
9.7.-15.7.2012;0.156905;
16.7.-22.7.2012;0.224702;
23.7.-29.7.2012;0.438988;
30.7.-5.8.2012;0.052798;
6.8.-12.8.2012;0.051726;
13.8.-19.8.2012;0.051607;
20.8.-26.8.2012;0.053869;
27.8.-2.9.2012;0.056667;
3.9.-9.9.2012;0.053869;
10.9.-16.9.2012;0.054167;
17.9.-23.9.2012;0.055476;
24.9.-30.9.2012;0.072976;
1.10.-7.10.2012;0.053810;
8.10.-14.10.2012;0.050536;
15.10.-21.10.2012;0.053690;
22.10.-28.10.2012;0.055119;
29.10.-4.11.2012;0.053750;
5.11.-11.11.2012;0.064583;
12.11.-18.11.2012;0.053214;
19.11.-25.11.2012;0.051607;
26.11.-2.12.2012;0.052143;
3.12.-9.12.2012;0.053512;
10.12.-16.12.2012;0.053274;
17.12.-23.12.2012;0.054286;
24.12.-31.12.2012;0.055208;
