Date;Proton60;
1.1.-9.1.2011;0.066713;
10.1.-16.1.2011;0.067083;
17.1.-23.1.2011;0.068452;
24.1.-30.1.2011;0.072798;
31.1.-6.2.2011;0.067976;
7.2.-13.2.2011;0.069464;
14.2.-20.2.2011;0.068155;
21.2.-27.2.2011;0.069822;
28.2.-6.3.2011;0.065119;
7.3.-13.3.2011;0.094167;
14.3.-20.3.2011;0.066012;
21.3.-27.3.2011;0.103214;
28.3.-3.4.2011;0.062262;
4.4.-10.4.2011;0.061845;
11.4.-17.4.2011;0.062321;
18.4.-24.4.2011;0.063036;
25.4.-1.5.2011;0.061369;
2.5.-8.5.2011;0.061726;
9.5.-15.5.2011;0.063095;
16.5.-22.5.2011;0.063274;
23.5.-29.5.2011;0.062500;
30.5.-5.6.2011;0.065833;
6.6.-12.6.2011;0.802083;
13.6.-19.6.2011;0.059345;
20.6.-26.6.2011;0.057679;
27.6.-3.7.2011;0.060952;
4.7.-10.7.2011;0.060774;
11.7.-17.7.2011;0.060417;
18.7.-24.7.2011;0.059822;
25.7.-31.7.2011;0.061191;
1.8.-7.8.2011;0.298869;
8.8.-14.8.2011;0.181250;
15.8.-21.8.2011;0.060536;
22.8.-28.8.2011;0.060595;
29.8.-4.9.2011;0.062559;
5.9.-11.9.2011;0.115655;
12.9.-18.9.2011;0.058393;
19.9.-25.9.2011;0.103155;
26.9.-2.10.2011;0.059107;
3.10.-9.10.2011;0.058928;
10.10.-16.10.2011;0.058750;
17.10.-23.10.2011;0.061131;
24.10.-30.10.2011;0.061786;
31.10.-6.11.2011;0.080476;
7.11.-13.11.2011;0.059702;
14.11.-20.11.2011;0.060536;
21.11.-27.11.2011;0.072679;
28.11.-4.12.2011;0.061131;
5.12.-11.12.2011;0.062560;
12.12.-18.12.2011;0.063691;
19.12.-25.12.2011;0.062143;
26.12.-31.12.2011;0.062014;
