"Year";"Correlation";"parameter"
"2014-2016";-0.175180369802931;"Lyman alpha solar index"
"2014-2016";0.166862772038891;"Polar cap south (Vostok)"
"2014-2016";-0.138786096848644;"R sunspot number"
"2014-2016";-0.13847306064328;"AL index"
"2014-2016";-0.135640283566383;"Solar index_F10.7"
"2014-2016";0.12877772256335;"Ap index"
"2014-2016";0.109091042126343;"AE index"
"2014-2016";0.087569767819303;"Polar cap north (Thule)"
"2014-2016";0.0745590407743583;"Kp index"
"2014-2016";0.0744673784889549;"Proton flux over 10 MeV"
"2014-2016";0.0715731643852805;"Proton flux over 30 MeV"
"2014-2016";0.0689419926329512;"Proton flux over 60 MeV"
"2014-2016";0.0667376288308933;"Solar wind density"
"2014-2016";0.0523794418775953;"Solar wind temperature"
"2014-2016";0.0246869712491074;"AU index"
"2014-2016";0.0171176943054583;"Solar wind speed"
"2014-2016";-0.0114641473950812;"Dst index"
