Week;Nehodovost;Lyman
1.tyzden.2015;103;4.607500
2.tyzden.2015;103;4.900000
3.tyzden.2015;259;5.015714
4.tyzden.2015;217;4.524286
5.tyzden.2015;240;4.771429
6.tyzden.2015;205;5.134286
7.tyzden.2015;239;5.024286
8.tyzden.2015;220;4.542857
9.tyzden.2015;181;4.671429
tyzden.2015;206;4.860000
11.tyzden.2015;225;4.730000
12.tyzden.2015;221;4.384286
13.tyzden.2015;236;4.927143
tyzden.2015;211;4.884286
15.tyzden.2015;213;4.720000
16.tyzden.2015;240;4.684286
tyzden.2015;257;5.040000
18.tyzden.2015;230;4.601429
19.tyzden.2015;220;4.677143
20.tyzden.2015;251;4.922857
21.tyzden.2015;256;4.688571
22.tyzden.2015;287;4.317143
23.tyzden.2015;310;4.567143
24.tyzden.2015;282;4.864286
25.tyzden.2015;258;4.620000
26.tyzden.2015;256;4.215714
27.tyzden.2015;273;4.517143
28.tyzden.2015;246;4.820000
29.tyzden.2015;275;4.517143
30.tyzden.2015;284;4.164286
31.tyzden.2015;235;4.451429
32.tyzden.2015;266;4.557143
33.tyzden.2015;269;4.318571
34.tyzden.2015;295;4.170000
35.tyzden.2015;272;4.331429
36.tyzden.2015;276;4.298571
37.tyzden.2015;269;4.140000
38.tyzden.2015;264;4.238571
39.tyzden.2015;285;4.442857
40.tyzden.2015;285;4.274286
41.tyzden.2015;261;3.928571
42.tyzden.2015;296;4.221429
43.tyzden.2015;274;4.627143
44.tyzden.2015;287;4.228571
45.tyzden.2015;279;4.141429
46.tyzden.2015;285;4.411429
47.tyzden.2015;260;4.567143
48.tyzden.2015;283;4.301429
49.tyzden.2015;284;4.122857
50.tyzden.2015;292;4.388571
51.tyzden.2015;302;4.502857
52.tyzden.2015;349;4.319091
