Week;Nehodovost;Lyman
1.tyzden.2017;216;3.700000
2.tyzden.2017;252;3.661429
3.tyzden.2017;210;3.842857
4.tyzden.2017;188;3.818571
5.tyzden.2017;242;3.654286
6.tyzden.2017;218;3.635714
7.tyzden.2017;240;3.735714
8.tyzden.2017;203;3.810000
9.tyzden.2017;228;3.747143
10.tyzden.2017;185;3.625714
11.tyzden.2017;217;3.644286
12.tyzden.2017;223;3.697143
13.tyzden.2017;279;3.718571
14.tyzden.2017;226;3.641429
15.tyzden.2017;257;3.691429
16.tyzden.2017;208;3.804286
17.tyzden.2017;244;3.814286
18.tyzden.2017;267;3.632857
19.tyzden.2017;258;3.614286
20.tyzden.2017;276;3.727143
21.tyzden.2017;305;3.755714
22.tyzden.2017;294;3.660000
23.tyzden.2017;266;3.717143
24.tyzden.2017;263;3.790000
25.tyzden.2017;274;3.744286
26.tyzden.2017;343;3.651429
27.tyzden.2017;272;3.664286
28.tyzden.2017;295;3.790000
29.tyzden.2017;287;3.645714
30.tyzden.2017;272;3.621429
31.tyzden.2017;307;3.651429
32.tyzden.2017;268;3.721429
33.tyzden.2017;270;3.644286
34.tyzden.2017;257;3.682857
35.tyzden.2017;261;3.740000
36.tyzden.2017;236;3.944286
37.tyzden.2017;316;3.658571
38.tyzden.2017;273;3.648571
39.tyzden.2017;270;3.867143
40.tyzden.2017;265;3.804286
41.tyzden.2017;261;3.617143
42.tyzden.2017;291;3.670000
43.tyzden.2017;311;3.828571
44.tyzden.2017;218;3.717143
45.tyzden.2017;279;3.571429
46.tyzden.2017;271;3.647143
47.tyzden.2017;322;3.770000
48.tyzden.2017;303;3.615714
49.tyzden.2017;339;3.551429
50.tyzden.2017;297;3.661429
51.tyzden.2017;311;3.701429
52.tyzden.2017;211;3.601429
