"Year";"Correlation";"parameter"
"2014-2016";-0.0901521152609835;"Solar wind temperature"
"2014-2016";-0.083428285758125;"Lyman alpha solar index"
"2014-2016";0.0598438158785099;"Dst index"
"2014-2016";-0.0530072084040586;"Proton flux over 10 MeV"
"2014-2016";-0.0453398384063042;"Solar wind density"
"2014-2016";-0.0403424452245679;"Ap index"
"2014-2016";-0.0346905478714786;"Kp index"
"2014-2016";-0.029953323385847;"Proton flux over 60 MeV"
"2014-2016";-0.0281961426369216;"Polar cap south (Vostok)"
"2014-2016";0.0274846879868652;"R sunspot number"
"2014-2016";-0.027023205132002;"Proton flux over 30 MeV"
"2014-2016";-0.0178834143492049;"Solar wind speed"
"2014-2016";-0.0165925040761761;"Solar index_F10.7"
"2014-2016";0.0138577352721686;"Polar cap north (Thule)"
