Week;Zraneni;
1.tyzden.2012;12;
2.tyzden.2012;21;
3.tyzden.2012;21;
4.tyzden.2012;16;
5.tyzden.2012;11;
6.tyzden.2012;7;
7.tyzden.2012;15;
8.tyzden.2012;18;
9.tyzden.2012;14;
10.tyzden.2012;14;
11.tyzden.2012;9;
12.tyzden.2012;13;
13.tyzden.2012;11;
14.tyzden.2012;11;
15.tyzden.2012;16;
16.tyzden.2012;17;
17.tyzden.2012;17;
18.tyzden.2012;27;
19.tyzden.2012;29;
20.tyzden.2012;12;
21.tyzden.2012;22;
22.tyzden.2012;16;
23.tyzden.2012;20;
24.tyzden.2012;20;
25.tyzden.2012;24;
26.tyzden.2012;14;
27.tyzden.2012;9;
28.tyzden.2012;13;
29.tyzden.2012;12;
30.tyzden.2012;18;
31.tyzden.2012;14;
32.tyzden.2012;22;
33.tyzden.2012;29;
34.tyzden.2012;28;
35.tyzden.2012;14;
36.tyzden.2012;17;
37.tyzden.2012;20;
38.tyzden.2012;22;
39.tyzden.2012;18;
40.tyzden.2012;26;
41.tyzden.2012;22;
42.tyzden.2012;32;
43.tyzden.2012;6;
44.tyzden.2012;23;
45.tyzden.2012;13;
46.tyzden.2012;18;
47.tyzden.2012;22;
48.tyzden.2012;20;
49.tyzden.2012;27;
50.tyzden.2012;17;
51.tyzden.2012;14;
52.tyzden.2012;20;
