Week;Nehodovost;
1.tyzden.2012;233;
2.tyzden.2012;256;
3.tyzden.2012;292;
4.tyzden.2012;250;
5.tyzden.2012;199;
6.tyzden.2012;208;
7.tyzden.2012;309;
8.tyzden.2012;225;
9.tyzden.2012;207;
10.tyzden.2012;201;
11.tyzden.2012;209;
12.tyzden.2012;235;
13.tyzden.2012;198;
14.tyzden.2012;215;
15.tyzden.2012;201;
16.tyzden.2012;225;
17.tyzden.2012;294;
18.tyzden.2012;269;
19.tyzden.2012;257;
20.tyzden.2012;248;
21.tyzden.2012;258;
22.tyzden.2012;250;
23.tyzden.2012;292;
24.tyzden.2012;280;
25.tyzden.2012;301;
26.tyzden.2012;279;
27.tyzden.2012;275;
28.tyzden.2012;303;
29.tyzden.2012;249;
30.tyzden.2012;253;
31.tyzden.2012;258;
32.tyzden.2012;258;
33.tyzden.2012;274;
34.tyzden.2012;277;
35.tyzden.2012;265;
36.tyzden.2012;294;
37.tyzden.2012;297;
38.tyzden.2012;270;
39.tyzden.2012;270;
40.tyzden.2012;287;
41.tyzden.2012;273;
42.tyzden.2012;337;
43.tyzden.2012;289;
44.tyzden.2012;268;
45.tyzden.2012;290;
46.tyzden.2012;263;
47.tyzden.2012;299;
48.tyzden.2012;251;
49.tyzden.2012;344;
50.tyzden.2012;344;
51.tyzden.2012;342;
52.tyzden.2012;208;
