Week;Usmrteni;
1.tyzden.2012;11;
2.tyzden.2012;5;
3.tyzden.2012;8;
4.tyzden.2012;6;
5.tyzden.2012;3;
6.tyzden.2012;0;
7.tyzden.2012;3;
8.tyzden.2012;16;
9.tyzden.2012;2;
10.tyzden.2012;3;
11.tyzden.2012;9;
12.tyzden.2012;9;
13.tyzden.2012;3;
14.tyzden.2012;1;
15.tyzden.2012;4;
16.tyzden.2012;10;
17.tyzden.2012;8;
18.tyzden.2012;7;
19.tyzden.2012;9;
20.tyzden.2012;2;
21.tyzden.2012;14;
22.tyzden.2012;17;
23.tyzden.2012;5;
24.tyzden.2012;9;
25.tyzden.2012;11;
26.tyzden.2012;13;
27.tyzden.2012;11;
28.tyzden.2012;9;
29.tyzden.2012;6;
30.tyzden.2012;13;
31.tyzden.2012;1;
32.tyzden.2012;2;
33.tyzden.2012;13;
34.tyzden.2012;12;
35.tyzden.2012;4;
36.tyzden.2012;11;
37.tyzden.2012;7;
38.tyzden.2012;13;
39.tyzden.2012;12;
40.tyzden.2012;14;
41.tyzden.2012;6;
42.tyzden.2012;11;
43.tyzden.2012;7;
44.tyzden.2012;6;
45.tyzden.2012;3;
46.tyzden.2012;9;
47.tyzden.2012;8;
48.tyzden.2012;8;
49.tyzden.2012;6;
50.tyzden.2012;7;
51.tyzden.2012;16;
52.tyzden.2012;8;
