"Year";"Correlation";"parameter"
"2012-2017";-0.157999472038826;"Lyman alpha solar index"
"2012-2017";-0.13101994510416;"Solar index_F10.7"
"2012-2017";-0.122873135118218;"R sunspot number"
"2012-2017";0.0907381410953898;"Dst index"
"2012-2017";-0.0682703204264515;"Proton flux over 10 MeV"
"2012-2017";-0.0681702601160607;"Kp index"
"2012-2017";-0.0630584662092894;"Proton flux over 30 MeV"
"2012-2017";-0.0544695419450072;"Solar wind density"
"2012-2017";-0.0540027523851699;"Proton flux over 60 MeV"
"2012-2017";-0.0460290482837932;"Ap index"
"2012-2017";-0.0397672843227295;"Polar cap south (Vostok)"
"2012-2017";-0.0288363150675059;"Solar wind speed"
"2012-2017";-0.01823257428236;"Polar cap north (Thule)"
"2012-2017";-0.00755528887503257;"Solar wind temperature"
