Date;Temperature;
1.1.-9.1.2010;32214.930555;
10.1.-16.1.2010;78969.750000;
17.1.-23.1.2010;52563.023810;
24.1.-30.1.2010;47339.803571;
31.1.-6.2.2010;86450.595238;
7.2.-13.2.2010;33617.886905;
14.2.-20.2.2010;62968.690476;
21.2.-27.2.2010;43178.732143;
28.2.-6.3.2010;69815.119048;
7.3.-13.3.2010;93505.755952;
14.3.-20.3.2010;66140.303572;
21.3.-27.3.2010;49015.214286;
28.3.-3.4.2010;121704.511905;
4.4.-10.4.2010;116358.851190;
11.4.-17.4.2010;78993.113095;
18.4.-24.4.2010;60965.160714;
25.4.-1.5.2010;41690.702381;
2.5.-8.5.2010;146568.880952;
9.5.-15.5.2010;65043.821429;
16.5.-22.5.2010;80260.636905;
23.5.-29.5.2010;35800.880952;
30.5.-5.6.2010;135238.886905;
6.6.-12.6.2010;56945.690476;
13.6.-19.6.2010;104792.553572;
20.6.-26.6.2010;49187.869048;
27.6.-3.7.2010;145190.595238;
4.7.-10.7.2010;51974.482143;
11.7.-17.7.2010;48132.892857;
18.7.-24.7.2010;37655.625000;
25.7.-31.7.2010;137442.130952;
1.8.-7.8.2010;87985.434524;
8.8.-14.8.2010;82051.535714;
15.8.-21.8.2010;48241.880952;
22.8.-28.8.2010;145638.761905;
29.8.-4.9.2010;59189.672619;
5.9.-11.9.2010;92851.059524;
12.9.-18.9.2010;96092.559524;
19.9.-25.9.2010;80874.964286;
26.9.-2.10.2010;73669.083333;
3.10.-9.10.2010;42904.767857;
10.10.-16.10.2010;39375.761905;
17.10.-23.10.2010;103896.922619;
24.10.-30.10.2010;118301.880952;
31.10.-6.11.2010;34202.755952;
7.11.-13.11.2010;78922.601190;
14.11.-20.11.2010;123828.660714;
21.11.-27.11.2010;71788.452381;
28.11.-4.12.2010;34928.785714;
5.12.-11.12.2010;39925.619048;
12.12.-18.12.2010;118487.232143;
19.12.-25.12.2010;40509.095238;
26.12.-31.12.2010;60600.930556;
