Date;Temperature;
1.1.-4.1.2015;81047.708333;
5.1.-11.1.2015;135556.154762;
12.1.-18.1.2015;78579.839286;
19.1.-25.1.2015;76305.482143;
26.1.-1.2.2015;107609.982143;
2.2.-8.2.2015;129660.511905;
9.2.-15.2.2015;55100.684524;
16.2.-22.2.2015;70161.517857;
23.2.-1.3.2015;103865.482143;
2.3.-8.3.2015;147592.136905;
9.3.-15.3.2015;67049.029762;
16.3.-22.3.2015;163377.958333;
23.3.-29.3.2015;83506.297619;
30.3.-5.4.2015;89410.553571;
6.4.-12.4.2015;52662.315476;
13.4.-19.4.2015;121408.839286;
20.4.-26.4.2015;77962.750000;
27.4.-3.5.2015;58073.535714;
4.5.-10.5.2015;49289.184524;
11.5.-17.5.2015;102604.577381;
18.5.-24.5.2015;78105.821429;
25.5.-31.5.2015;63356.053571;
1.6.-7.6.2015;42164.607143;
8.6.-14.6.2015;157877.928571;
15.6.-21.6.2015;69695.714286;
22.6.-28.6.2015;272599.523809;
29.6.-5.7.2015;80653.833333;
6.7.-12.7.2015;121112.547619;
13.7.-19.7.2015;96568.940476;
20.7.-26.7.2015;92040.071429;
27.7.-2.8.2015;127886.636905;
3.8.-9.8.2015;110340.821429;
10.8.-16.8.2015;91692.202381;
17.8.-23.8.2015;113279.750000;
24.8.-30.8.2015;68011.613095;
31.8.-6.9.2015;91024.750000;
7.9.-13.9.2015;103202.357143;
14.9.-20.9.2015;123812.041666;
21.9.-27.9.2015;106426.404762;
28.9.-4.10.2015;74556.422619;
5.10.-11.10.2015;152098.059524;
12.10.-18.10.2015;97817.327381;
19.10.-25.10.2015;90790.238095;
26.10.-1.11.2015;41751.517857;
2.11.-8.11.2015;138133.446429;
9.11.-15.11.2015;142029.690476;
16.11.-22.11.2015;54723.934524;
23.11.-29.11.2015;44590.172619;
30.11.-6.12.2015;111239.309524;
7.12.-13.12.2015;149911.023809;
14.12.-20.12.2015;107045.035714;
21.12.-31.12.2015;111729.662879;
