Date;Temperature;
1.1.-5.1.2014;131149.733333;
6.1.-12.1.2014;107612.934524;
13.1.-19.1.2014;153513.446429;
20.1.-26.1.2014;109857.815476;
27.1.-2.2.2014;78026.005952;
3.2.-9.2.2014;60248.857143;
10.2.-16.2.2014;58703.458333;
17.2.-23.2.2014;73785.166667;
24.2.-2.3.2014;76437.369048;
3.3.-9.3.2014;85790.976191;
10.3.-16.3.2014;63756.309524;
17.3.-23.3.2014;81477.113095;
24.3.-30.3.2014;81135.839286;
31.3.-6.4.2014;86424.809524;
7.4.-13.4.2014;72069.255953;
14.4.-20.4.2014;96211.904762;
21.4.-27.4.2014;56734.559524;
28.4.-4.5.2014;36847.785714;
5.5.-11.5.2014;60570.148809;
12.5.-18.5.2014;47097.744047;
19.5.-25.5.2014;68234.083333;
26.5.-1.6.2014;38545.601190;
2.6.-8.6.2014;63534.261905;
9.6.-15.6.2014;71298.345238;
16.6.-22.6.2014;89638.845238;
23.6.-29.6.2014;39952.107143;
30.6.-6.7.2014;31940.619048;
7.7.-13.7.2014;48241.827381;
14.7.-20.7.2014;61869.386905;
21.7.-27.7.2014;58400.029762;
28.7.-3.8.2014;68489.541667;
4.8.-10.8.2014;82558.226191;
11.8.-17.8.2014;81182.130952;
18.8.-24.8.2014;34515.517857;
25.8.-31.8.2014;75952.154762;
1.9.-7.9.2014;66096.059524;
8.9.-14.9.2014;101072.928572;
15.9.-21.9.2014;87946.017857;
22.9.-28.9.2014;83696.892857;
29.9.-5.10.2014;88153.690476;
6.10.-12.10.2014;52892.440476;
13.10.-19.10.2014;99299.148809;
20.10.-26.10.2014;100419.583333;
27.10.-2.11.2014;113190.422619;
3.11.-9.11.2014;95954.255952;
10.11.-16.11.2014;202245.297619;
17.11.-23.11.2014;79858.988095;
24.11.-30.11.2014;72168.125000;
1.12.-7.12.2014;137335.797619;
8.12.-14.12.2014;142472.994048;
15.12.-21.12.2014;78092.982143;
22.12.-31.12.2014;153363.904167;
