Date;Temperature;
1.1.-10.1.2016;99209.875000;
11.1.-17.1.2016;151823.095238;
18.1.-24.1.2016;104949.363095;
25.1.-31.1.2016;31307.708333;
1.2.-7.2.2016;68409.732143;
8.2.-14.2.2016;78459.500000;
15.2.-21.2.2016;135025.172619;
22.2.-28.2.2016;65356.952381;
29.2.-6.3.2016;71943.559524;
7.3.-13.3.2016;101375.505952;
14.3.-20.3.2016;131721.125000;
21.3.-27.3.2016;91190.892857;
28.3.-3.4.2016;105175.577381;
4.4.-10.4.2016;55233.648809;
11.4.-17.4.2016;96754.250000;
18.4.-24.4.2016;91642.315476;
25.4.-1.5.2016;89128.178571;
2.5.-8.5.2016;153631.023810;
9.5.-15.5.2016;119347.755952;
16.5.-22.5.2016;146862.017857;
23.5.-29.5.2016;102625.244048;
30.5.-5.6.2016;88101.851191;
6.6.-12.6.2016;137375.619048;
13.6.-19.6.2016;160990.791667;
20.6.-26.6.2016;92079.589286;
27.6.-3.7.2016;81005.541667;
4.7.-10.7.2016;125251.523810;
11.7.-17.7.2016;133305.208333;
18.7.-24.7.2016;65560.178571;
25.7.-31.7.2016;77001.839286;
1.8.-7.8.2016;134716.047619;
8.8.-14.8.2016;125006.696429;
15.8.-21.8.2016;45638.642857;
22.8.-28.8.2016;94191.184524;
29.8.-4.9.2016;160483.083333;
5.9.-11.9.2016;80191.577381;
12.9.-18.9.2016;32396.821429;
19.9.-25.9.2016;92412.148810;
26.9.-2.10.2016;169087.255953;
3.10.-9.10.2016;88182.922619;
10.10.-16.10.2016;104187.988095;
17.10.-23.10.2016;98963.398810;
24.10.-30.10.2016;178285.625000;
31.10.-6.11.2016;60735.345238;
7.11.-13.11.2016;116516.154762;
14.11.-20.11.2016;65465.250000;
21.11.-27.11.2016;145289.297619;
28.11.-4.12.2016;38383.898809;
5.12.-11.12.2016;156184.011905;
12.12.-18.12.2016;74667.744048;
19.12.-25.12.2016;174614.541667;
26.12.-31.12.2016;108108.250000;
