Week;Usmrteni;Proton30
1.tyzden.2014;6;0.070500
2.tyzden.2014;11;21.232679
3.tyzden.2014;12;0.078095
4.tyzden.2014;7;0.173988
5.tyzden.2014;8;0.069405
6.tyzden.2014;7;0.067262
7.tyzden.2014;14;0.068452
8.tyzden.2014;5;0.153869
9.tyzden.2014;2;2.288572
10.tyzden.2014;2;0.115059
11.tyzden.2014;7;0.066845
12.tyzden.2014;10;0.066369
13.tyzden.2014;2;0.085059
14.tyzden.2014;3;0.077441
15.tyzden.2014;3;0.069107
16.tyzden.2014;3;0.635059
17.tyzden.2014;16;0.068631
18.tyzden.2014;3;0.072143
19.tyzden.2014;3;0.078155
20.tyzden.2014;6;0.070952
21.tyzden.2014;7;0.068393
22.tyzden.2014;6;0.068631
23.tyzden.2014;17;0.070417
24.tyzden.2014;6;0.073631
25.tyzden.2014;3;0.064583
26.tyzden.2014;7;0.067798
27.tyzden.2014;4;0.069345
28.tyzden.2014;6;0.070476
29.tyzden.2014;7;0.067559
30.tyzden.2014;3;0.070357
31.tyzden.2014;2;0.070774
32.tyzden.2014;13;0.069881
33.tyzden.2014;7;0.070297
34.tyzden.2014;17;0.071905
35.tyzden.2014;7;0.081666
36.tyzden.2014;11;1.098452
37.tyzden.2014;6;1.258274
38.tyzden.2014;8;0.081607
39.tyzden.2014;8;0.095119
40.tyzden.2014;5;0.072440
41.tyzden.2014;6;0.074941
42.tyzden.2014;3;0.081964
43.tyzden.2014;6;0.072024
44.tyzden.2014;5;0.099702
45.tyzden.2014;2;0.086429
46.tyzden.2014;12;0.073333
47.tyzden.2014;4;0.077679
48.tyzden.2014;10;0.073750
49.tyzden.2014;5;0.068155
50.tyzden.2014;5;0.125774
51.tyzden.2014;4;0.102857
52.tyzden.2014;11;0.078458
