"Year";"Correlation";"parameter"
"2013-2015";0.104903988535226;"R sunspot number"
"2013-2015";0.102357688464452;"AU index"
"2013-2015";-0.09764029950505;"Lyman alpha solar index"
"2013-2015";-0.0861285212746709;"Solar wind temperature"
"2013-2015";0.0856296720144723;"AE index"
"2013-2015";-0.0708200239543527;"AL index"
"2013-2015";-0.0654653206327193;"Proton flux over 60 MeV"
"2013-2015";0.061258091506036;"Dst index"
"2013-2015";-0.0605898474587208;"Proton flux over 10 MeV"
"2013-2015";-0.0455097193098361;"Proton flux over 30 MeV"
"2013-2015";-0.0305014816973282;"Solar wind speed"
"2013-2015";0.0139610085181335;"Kp index"
"2013-2015";0.0131472487459711;"Polar cap north (Thule)"
"2013-2015";-0.0087023806652135;"Polar cap south (Vostok)"
"2013-2015";-0.00800011151037452;"Solar wind density"
"2013-2015";-0.00139012719152079;"Ap index"
"2013-2015";0.000772379592715216;"Solar index_F10.7"
